Year,Rank,Club,Total Passes
2021/2022,12.0,Leeds,"16,503"
2020/2021,8.0,Leeds,"18,652"
2022/2023,8.0,Leicester,"17,365"
2021/2022,7.0,Leicester,"18,578"
2020/2021,6.0,Leicester,"19,577"
2019/2020,5.0,Leicester,"19,915"
2018/2019,8.0,Leicester,"17,219"
2017/2018,11.0,Leicester,"15,200"
2016/2017,16.0,Leicester,"13,674"
2015/2016,18.0,Leicester,"13,370"
2014/2015,19.0,Leicester,"13,343"
2023/2024,3.0,Liverpool,"22,515"
2022/2023,2.0,Liverpool,"22,401"
2021/2022,2.0,Liverpool,"23,588"
2020/2021,2.0,Liverpool,"24,292"
2019/2020,2.0,Liverpool,"23,872"
2018/2019,3.0,Liverpool,"23,638"
2017/2018,3.0,Liverpool,"22,962"
2016/2017,2.0,Liverpool,"22,283"
2015/2016,4.0,Liverpool,"19,733"
2014/2015,5.0,Liverpool,"19,374"
2013/2014,4.0,Liverpool,"19,612"
2012/2013,4.0,Liverpool,"19,831"
2011/2012,6.0,Liverpool,"18,797"
2010/2011,6.0,Liverpool,"16,734"
2009/2010,4.0,Liverpool,"18,590"
2008/2009,2.0,Liverpool,"19,508"
2007/2008,4.0,Liverpool,"16,360"
2006/2007,3.0,Liverpool,"17,162"
2023/2024,19.0,Luton,"13,310"
2023/2024,1.0,Man City,"26,251"
2022/2023,1.0,Man City,"25,072"
2021/2022,1.0,Man City,"26,132"
2020/2021,1.0,Man City,"25,651"
2019/2020,1.0,Man City,"26,329"
2018/2019,1.0,Man City,"26,581"
2017/2018,1.0,Man City,"28,241"
2016/2017,1.0,Man City,"22,705"
2015/2016,2.0,Man City,"20,488"
2014/2015,1.0,Man City,"22,107"
2013/2014,3.0,Man City,"20,774"
2012/2013,2.0,Man City,"20,074"
2011/2012,1.0,Man City,"20,863"
2010/2011,4.0,Man City,"17,768"
2009/2010,6.0,Man City,"16,329"
2008/2009,6.0,Man City,"15,983"
2007/2008,6.0,Man City,"15,149"
2006/2007,11.0,Man City,"12,765"
2023/2024,9.0,Man Utd,"18,070"
2022/2023,6.0,Man Utd,"19,086"
2021/2022,5.0,Man Utd,"19,035"
2020/2021,4.0,Man Utd,"20,996"
2019/2020,4.0,Man Utd,"20,059"
2018/2019,6.0,Man Utd,"19,202"
2017/2018,6.0,Man Utd,"20,064"
2016/2017,4.0,Man Utd,"20,247"
2015/2016,3.0,Man Utd,"20,070"
2014/2015,2.0,Man Utd,"21,311"
2013/2014,6.0,Man Utd,"18,910"
2012/2013,5.0,Man Utd,"19,709"
2011/2012,4.0,Man Utd,"20,193"
2010/2011,3.0,Man Utd,"18,870"
2009/2010,1.0,Man Utd,"19,339"
2008/2009,3.0,Man Utd,"19,444"
2007/2008,2.0,Man Utd,"17,422"
2006/2007,1.0,Man Utd,"18,723"
2016/2017,11.0,Middlesbrough,"15,736"
2008/2009,15.0,Middlesbrough,"13,148"
2007/2008,14.0,Middlesbrough,"12,217"
2006/2007,10.0,Middlesbrough,"12,786"
2023/2024,8.0,Newcastle,"18,230"
2022/2023,11.0,Newcastle,"16,052"
2021/2022,19.0,Newcastle,"12,503"
2020/2021,19.0,Newcastle,"13,116"
2019/2020,19.0,Newcastle,"13,066"
2018/2019,18.0,Newcastle,"13,490"
2017/2018,17.0,Newcastle,"14,028"
2015/2016,13.0,Newcastle,"15,118"
2014/2015,12.0,Newcastle,"15,019"
2013/2014,10.0,Newcastle,"16,102"
2012/2013,12.0,Newcastle,"14,604"
2011/2012,14.0,Newcastle,"14,638"
2010/2011,14.0,Newcastle,"14,204"
2008/2009,12.0,Newcastle,"14,172"
2007/2008,7.0,Newcastle,"13,947"
2006/2007,6.0,Newcastle,"14,628"
2021/2022,16.0,Norwich,"14,466"
2019/2020,9.0,Norwich,"17,362"
2015/2016,16.0,Norwich,"14,483"
2013/2014,13.0,Norwich,"14,777"
2012/2013,16.0,Norwich,"13,446"
2011/2012,10.0,Norwich,"15,165"
2023/2024,17.0,Nottm Forest,"14,170"
2022/2023,20.0,Nottm Forest,"12,091"
2009/2010,13.0,Portsmouth,"13,535"
2008/2009,11.0,Portsmouth,"14,516"
2007/2008,10.0,Portsmouth,"12,794"
2006/2007,13.0,Portsmouth,"12,616"
2014/2015,16.0,QPR,"13,659"
2012/2013,15.0,QPR,"13,649"
2011/2012,17.0,QPR,"13,408"
2012/2013,20.0,Reading,"11,827"
2007/2008,20.0,Reading,"10,442"
2006/2007,18.0,Reading,"11,232"
2023/2024,20.0,Sheff Utd,"12,218"
2020/2021,16.0,Sheff Utd,"14,647"
2019/2020,14.0,Sheff Utd,"14,922"
2006/2007,19.0,Sheff Utd,"11,123"
2022/2023,15.0,Southampton,"14,796"
2021/2022,13.0,Southampton,"15,288"
2020/2021,11.0,Southampton,"17,690"
2019/2020,12.0,Southampton,"15,667"
2018/2019,16.0,Southampton,"14,297"
2017/2018,7.0,Southampton,"17,174"
2016/2017,7.0,Southampton,"18,240"
2015/2016,11.0,Southampton,"15,913"
2014/2015,8.0,Southampton,"18,184"
2013/2014,5.0,Southampton,"19,592"
2012/2013,9.0,Southampton,"16,830"
2017/2018,20.0,Stoke City,"12,892"
2016/2017,14.0,Stoke City,"14,558"
2015/2016,10.0,Stoke City,"16,342"
2014/2015,11.0,Stoke City,"15,386"
2013/2014,11.0,Stoke City,"15,336"
2012/2013,19.0,Stoke City,"12,344"
2011/2012,20.0,Stoke City,"10,836"
2010/2011,20.0,Stoke City,"10,349"
2009/2010,20.0,Stoke City,"10,321"
2008/2009,20.0,Stoke City,"9,554"
2016/2017,19.0,Sunderland,"12,360"
2015/2016,19.0,Sunderland,"12,799"
2014/2015,14.0,Sunderland,"14,451"
2013/2014,16.0,Sunderland,"14,482"
2012/2013,17.0,Sunderland,"13,132"
2011/2012,15.0,Sunderland,"13,913"
2010/2011,15.0,Sunderland,"14,166"
2009/2010,16.0,Sunderland,"12,499"
2008/2009,13.0,Sunderland,"14,163"
2007/2008,11.0,Sunderland,"12,736"
2017/2018,9.0,Swansea,"15,721"
2016/2017,10.0,Swansea,"16,125"
2015/2016,7.0,Swansea,"18,169"
2014/2015,9.0,Swansea,"17,877"
2013/2014,2.0,Swansea,"21,122"
2012/2013,3.0,Swansea,"19,965"
2011/2012,2.0,Swansea,"20,795"
2023/2024,4.0,Tottenham,"22,488"
2022/2023,7.0,Tottenham,"18,042"
2021/2022,4.0,Tottenham,"19,165"
2020/2021,7.0,Tottenham,"19,070"
2019/2020,7.0,Tottenham,"18,644"
2018/2019,4.0,Tottenham,"21,295"
2017/2018,4.0,Tottenham,"21,660"
2016/2017,5.0,Tottenham,"20,153"
2015/2016,6.0,Tottenham,"18,649"
2014/2015,6.0,Tottenham,"19,322"
2013/2014,9.0,Tottenham,"17,957"
2012/2013,10.0,Tottenham,"16,661"
2011/2012,5.0,Tottenham,"19,564"
2010/2011,5.0,Tottenham,"16,791"
2009/2010,7.0,Tottenham,"15,485"
