Player Name,Age,Market value,Left,Fee,Year,Club,Position
Declan Rice,24,€90.00m,West Ham,€116.60m,2023,Arsenal,midfielder
Kai Havertz,24,€55.00m,Chelsea,€75.00m,2023,Arsenal,midfielder
Jurrien Timber,22,€42.00m,Ajax,€40.00m,2023,Arsenal,defender
David Raya,27,€30.00m,Brentford,Loan fee:€3.34m,2023,Arsenal,goalkeeper
Albert Sambi Lokonga,24,€15.00m,Luton,"End of loanMay 31, 2024",2023,Arsenal,midfielder
Pablo Marí,29,€5.00m,Monza,"End of loanJun 30, 2023",2023,Arsenal,defender
Folarin Balogun,21,€30.00m,Stade Reims,"End of loanJun 30, 2023",2023,Arsenal,forward
Nicolas Pépé,28,€18.00m,OGC Nice,"End of loanJun 30, 2023",2023,Arsenal,forward
Cédric Soares,31,€3.00m,Fulham,"End of loanJun 30, 2023",2023,Arsenal,defender
Nuno Tavares,23,€18.00m,Marseille,"End of loanJun 30, 2023",2023,Arsenal,defender
Rúnar Alex Rúnarsson,28,€1.50m,Alanyaspor,"End of loanJun 30, 2023",2023,Arsenal,goalkeeper
Rúnar Alex Rúnarsson,28,€800k,Cardiff,"End of loanJan 31, 2024",2023,Arsenal,goalkeeper
Marquinhos,20,€7.00m,FC Nantes,"End of loanJan 12, 2024",2023,Arsenal,forward
Arthur Okonkwo,22,€1.80m,Wrexham,"End of loanMay 31, 2024",2023,Arsenal,goalkeeper
Arthur Okonkwo,21,€2.00m,Sturm Graz,"End of loanJun 30, 2023",2023,Arsenal,goalkeeper
Gabriel Jesus,25,€50.00m,Man City,€52.20m,2022,Arsenal,forward
Fábio Vieira,22,€25.00m,FC Porto,€35.00m,2022,Arsenal,midfielder
Oleksandr Zinchenko,25,€25.00m,Man City,€35.00m,2022,Arsenal,defender
Leandro Trossard,28,€30.00m,Brighton,€24.00m,2022,Arsenal,forward
Jakub Kiwior,22,€8.00m,Spezia Calcio,€19.50m,2022,Arsenal,defender
Jorginho,31,€35.00m,Chelsea,€11.30m,2022,Arsenal,midfielder
Matt Turner,28,€5.00m,New England,€5.90m,2022,Arsenal,goalkeeper
Marquinhos,19,€7.00m,São Paulo,€3.50m,2022,Arsenal,forward
Folarin Balogun,20,€4.00m,Arsenal U21,-,2022,Arsenal,forward
Karl Hein,20,€800k,Arsenal U21,-,2022,Arsenal,goalkeeper
Ainsley Maitland-Niles,25,€8.00m,Southampton,"End of loanMay 31, 2023",2022,Arsenal,midfielder
Auston Trusty,23,€2.00m,Colorado,"End of loanJul 14, 2022",2022,Arsenal,defender
William Saliba,21,€30.00m,Marseille,"End of loanJun 30, 2022",2022,Arsenal,defender
Albert Sambi Lokonga,23,€15.00m,Crystal Palace,"End of loanMay 31, 2023",2022,Arsenal,midfielder
Lucas Torreira,26,€20.00m,Fiorentina,"End of loanJun 30, 2022",2022,Arsenal,midfielder
Konstantinos Mavropanos,24,€15.00m,VfB Stuttgart,"End of loanJun 30, 2022",2022,Arsenal,defender
Arthur Okonkwo,21,€1.50m,Crewe Alexandra,"End of loanJan 15, 2023",2022,Arsenal,goalkeeper
Ainsley Maitland-Niles,24,€10.00m,AS Roma,"End of loanJun 30, 2022",2022,Arsenal,midfielder
Rúnar Alex Rúnarsson,27,€1.20m,OH Leuven,"End of loanJun 30, 2022",2022,Arsenal,goalkeeper
Marquinhos,20,€12.00m,Norwich,"End of loanMay 31, 2023",2022,Arsenal,forward
Auston Trusty,24,€9.00m,Birmingham,"End of loanMay 31, 2023",2022,Arsenal,defender
Mattéo Guendouzi,23,€25.00m,Marseille,"End of loanJun 30, 2022",2022,Arsenal,midfielder
Reiss Nelson,22,€6.50m,Feyenoord,"End of loanJun 30, 2022",2022,Arsenal,forward
Pablo Marí,28,€5.00m,Udinese Calcio,"End of loanJun 30, 2022",2022,Arsenal,defender
Héctor Bellerín,27,€20.00m,Real Betis,"End of loanJun 30, 2022",2022,Arsenal,defender
Ben White,23,€28.00m,Brighton,€58.50m,2021,Arsenal,defender
Martin Ødegaard,22,€40.00m,Real Madrid,€35.00m,2021,Arsenal,midfielder
Aaron Ramsdale,23,€12.00m,Sheff Utd,€28.00m,2021,Arsenal,goalkeeper
Takehiro Tomiyasu,22,€20.00m,Bologna,€18.60m,2021,Arsenal,defender
Albert Sambi Lokonga,21,€12.00m,RSC Anderlecht,€17.50m,2021,Arsenal,midfielder
Nuno Tavares,21,€7.00m,Benfica,€8.00m,2021,Arsenal,defender
Auston Trusty,23,€2.00m,Colorado,€1.80m,2021,Arsenal,defender
Arthur Okonkwo,19,-,Arsenal U23,-,2021,Arsenal,goalkeeper
William Saliba,20,€18.00m,OGC Nice,"End of loanJun 30, 2021",2021,Arsenal,defender
Sead Kolasinac,28,€6.50m,FC Schalke 04,"End of loanJun 30, 2021",2021,Arsenal,defender
Mattéo Guendouzi,22,€20.00m,Hertha BSC,"End of loanJun 30, 2021",2021,Arsenal,midfielder
Lucas Torreira,25,€20.00m,Atlético Madrid,"End of loanJun 30, 2021",2021,Arsenal,midfielder
Dejan Iliev,26,€350k,SKF Sered,"End of loanDec 31, 2021",2021,Arsenal,goalkeeper
Thomas Partey,27,€40.00m,Atlético Madrid,€50.00m,2020,Arsenal,midfielder
Gabriel Magalhães,22,€20.00m,LOSC Lille,€26.00m,2020,Arsenal,defender
Pablo Marí,26,€4.80m,Flamengo,€6.00m,2020,Arsenal,defender
Rúnar Alex Rúnarsson,25,€1.20m,Dijon,€2.00m,2020,Arsenal,goalkeeper
Martin Ødegaard,22,€40.00m,Real Madrid,Loan fee:€2.00m,2020,Arsenal,midfielder
Cédric Soares,28,€8.00m,Southampton,free transfer,2020,Arsenal,defender
Willian,32,€22.50m,Chelsea,free transfer,2020,Arsenal,forward
Mathew Ryan,28,€8.00m,Brighton,loan transfer,2020,Arsenal,goalkeeper
Emile Smith Rowe,20,€2.70m,Arsenal U23,-,2020,Arsenal,midfielder
Mohamed Elneny,28,€5.00m,Besiktas,"End of loanAug 3, 2020",2020,Arsenal,midfielder
Dejan Iliev,25,€300k,Shrewsbury,"End of loanJan 31, 2021",2020,Arsenal,goalkeeper
Henrikh Mkhitaryan,31,€20.00m,AS Roma,"End of loanAug 31, 2020",2020,Arsenal,midfielder
Dejan Iliev,25,€300k,Jagiellonia,"End of loanJul 31, 2020",2020,Arsenal,goalkeeper
Ainsley Maitland-Niles,23,€18.00m,West Brom,"End of loanMay 31, 2021",2020,Arsenal,midfielder
Joe Willock,21,€16.00m,Newcastle,"End of loanMay 31, 2021",2020,Arsenal,midfielder
William Saliba,19,€22.50m,Saint-Étienne,"End of loanJun 30, 2020",2020,Arsenal,defender
Nicolas Pépé,24,€65.00m,LOSC Lille,€80.00m,2019,Arsenal,forward
William Saliba,18,€12.00m,Saint-Étienne,€30.00m,2019,Arsenal,defender
Kieran Tierney,22,€12.50m,Celtic,€27.00m,2019,Arsenal,defender
David Luiz,32,€20.00m,Chelsea,€8.70m,2019,Arsenal,defender
Pablo Marí,26,€1.80m,Flamengo,Loan fee:€8.00m,2019,Arsenal,defender
Gabriel Martinelli,18,-,Ituano,€7.10m,2019,Arsenal,forward
Cédric Soares,28,€10.00m,Southampton,loan transfer,2019,Arsenal,defender
Dani Ceballos,22,€30.00m,Real Madrid,loan transfer,2019,Arsenal,midfielder
Reiss Nelson,19,€17.00m,Arsenal U23,-,2019,Arsenal,forward
Bukayo Saka,17,-,Arsenal U23,-,2019,Arsenal,forward
Joe Willock,19,-,Arsenal U23,-,2019,Arsenal,midfielder
Konstantinos Mavropanos,22,€2.40m,1.FC Nuremberg,"End of loanJul 12, 2020",2019,Arsenal,defender
Dejan Iliev,24,€300k,SKF Sered,"End of loanDec 31, 2019",2019,Arsenal,goalkeeper
David Ospina,30,€4.00m,SSC Napoli,"End of loanJun 30, 2019",2019,Arsenal,goalkeeper
Eddie Nketiah,20,€8.00m,Leeds,"End of loanJan 2, 2020",2019,Arsenal,forward
Takuma Asano,24,€1.50m,Hannover 96,"End of loanJun 30, 2019",2019,Arsenal,forward
Lucas Torreira,22,€30.00m,Sampdoria,€28.65m,2018,Arsenal,midfielder
Bernd Leno,26,€20.00m,B. Leverkusen,€25.00m,2018,Arsenal,goalkeeper
Sokratis Papastathopoulos,30,€20.00m,Bor. Dortmund,€16.00m,2018,Arsenal,defender
Mattéo Guendouzi,19,€2.50m,FC Lorient,€8.00m,2018,Arsenal,midfielder
Denis Suárez,25,€12.00m,Barcelona,Loan fee:€2.50m,2018,Arsenal,midfielder
Stephan Lichtsteiner,34,€1.50m,Juventus,free transfer,2018,Arsenal,defender
Eddie Nketiah,19,-,Arsenal U23,-,2018,Arsenal,forward
Dejan Iliev,23,-,Arsenal U23,-,2018,Arsenal,goalkeeper
Joel Campbell,26,€3.00m,Real Betis,"End of loanJun 30, 2018",2018,Arsenal,forward
Emiliano Martínez,26,€1.00m,Reading,"End of loanMay 31, 2019",2018,Arsenal,goalkeeper
Emiliano Martínez,25,€1.00m,Getafe,"End of loanJun 30, 2018",2018,Arsenal,goalkeeper
Krystian Bielik,21,€2.00m,Charlton,"End of loanMay 31, 2019",2018,Arsenal,midfielder
Matt Macey,24,€500k,Plymouth,"End of loanMay 31, 2019",2018,Arsenal,goalkeeper
Lucas Pérez,29,€7.50m,Dep. La Coruña,"End of loanJun 30, 2018",2018,Arsenal,forward
Takuma Asano,23,€2.00m,VfB Stuttgart,"End of loanJun 30, 2018",2018,Arsenal,forward
Calum Chambers,24,€14.00m,Fulham,"End of loanMay 31, 2019",2018,Arsenal,defender
Chuba Akpom,22,€1.20m,Sint-Truiden,"End of loanJun 30, 2018",2018,Arsenal,forward
Pierre-Emerick Aubameyang,28,€65.00m,Bor. Dortmund,€63.75m,2017,Arsenal,forward
Alexandre Lacazette,26,€40.00m,Olympique Lyon,€53.00m,2017,Arsenal,forward
Henrikh Mkhitaryan,29,€35.00m,Man Utd,€34.00m,2017,Arsenal,midfielder
Konstantinos Mavropanos,20,€450k,PAS Giannina,€2.10m,2017,Arsenal,defender
Sead Kolasinac,24,€15.00m,FC Schalke 04,free transfer,2017,Arsenal,defender
Ainsley Maitland-Niles,19,€750k,Arsenal U23,-,2017,Arsenal,midfielder
Krystian Bielik,20,€2.00m,Walsall,"End of loanMay 31, 2018",2017,Arsenal,midfielder
Wojciech Szczęsny,27,€17.00m,AS Roma,"End of loanJun 30, 2017",2017,Arsenal,goalkeeper
Joel Campbell,25,€6.00m,Sporting CP,"End of loanJun 30, 2017",2017,Arsenal,forward
Carl Jenkinson,26,€3.50m,Birmingham,"End of loanMay 31, 2018",2017,Arsenal,defender
Granit Xhaka,23,€35.00m,Bor. M'gladbach,€45.00m,2016,Arsenal,midfielder
Shkodran Mustafi,24,€20.00m,Valencia,€41.00m,2016,Arsenal,defender
Lucas Pérez,27,€12.00m,Dep. La Coruña,€20.00m,2016,Arsenal,forward
Takuma Asano,21,€1.20m,Sanf. Hiroshima,€4.00m,2016,Arsenal,forward
Rob Holding,20,€250k,Bolton,€3.00m,2016,Arsenal,defender
Jack Wilshere,25,€20.00m,Bournemouth,"End of loanMay 31, 2017",2016,Arsenal,midfielder
Krystian Bielik,19,€1.50m,Birmingham,"End of loanMay 31, 2017",2016,Arsenal,midfielder
Matt Macey,22,€500k,Luton,"End of loanApr 5, 2017",2016,Arsenal,goalkeeper
Calum Chambers,22,€12.00m,Middlesbrough,"End of loanMay 31, 2017",2016,Arsenal,defender
Mathieu Debuchy,30,€7.50m,G. Bordeaux,"End of loanJun 30, 2016",2016,Arsenal,defender
Chuba Akpom,21,€1.00m,Brighton,"End of loanMay 31, 2017",2016,Arsenal,forward
Petr Cech,33,€12.00m,Chelsea,€14.00m,2015,Arsenal,goalkeeper
Mohamed Elneny,23,€4.00m,FC Basel,€12.50m,2015,Arsenal,midfielder
Matt Macey,20,-,Arsenal U21,-,2015,Arsenal,goalkeeper
Chuba Akpom,19,€1.00m,Arsenal U21,-,2015,Arsenal,forward
Alex Iwobi,19,-,Arsenal U21,-,2015,Arsenal,midfielder
Ryo Miyaichi,22,€1.50m,Twente FC,"End of loanJun 30, 2015",2015,Arsenal,forward
Yaya Sanogo,23,€1.50m,Charlton,"End of loanMay 31, 2016",2015,Arsenal,forward
Lukas Podolski,30,€7.50m,Inter,"End of loanJun 30, 2015",2015,Arsenal,forward
Wellington Silva,23,€2.00m,Bolton,"End of loanMay 31, 2016",2015,Arsenal,forward
Serge Gnabry,20,€3.50m,West Brom,"End of loanFeb 1, 2016",2015,Arsenal,forward
Carl Jenkinson,23,€8.00m,West Ham,"End of loanJan 31, 2016",2015,Arsenal,defender
Yaya Sanogo,23,€1.50m,Ajax,"End of loanJan 31, 2016",2015,Arsenal,forward
Joel Campbell,23,€6.00m,Villarreal,"End of loanJun 30, 2015",2015,Arsenal,forward
Emiliano Martínez,23,€1.50m,Wolves,"End of loanMay 31, 2016",2015,Arsenal,goalkeeper
Chuba Akpom,20,€1.00m,Hull City,"End of loanMay 31, 2016",2015,Arsenal,forward
Alexis Sánchez,25,€30.00m,Barcelona,€42.50m,2014,Arsenal,forward
Calum Chambers,19,€2.00m,Southampton,€20.23m,2014,Arsenal,defender
Danny Welbeck,23,€17.00m,Man Utd,€20.00m,2014,Arsenal,forward
Mathieu Debuchy,28,€10.00m,Newcastle,€15.00m,2014,Arsenal,defender
Gabriel Paulista,24,€8.00m,Villarreal,€15.00m,2014,Arsenal,defender
David Ospina,25,€5.00m,OGC Nice,€4.00m,2014,Arsenal,goalkeeper
Krystian Bielik,17,-,Legia Warszawa,€2.25m,2014,Arsenal,midfielder
Emiliano Martínez,22,€1.00m,Rotherham,"End of loanMay 4, 2015",2014,Arsenal,goalkeeper
Héctor Bellerín,19,€500k,Arsenal U21,-,2014,Arsenal,defender
Francis Coquelin,23,€3.00m,SC Freiburg,"End of loanJun 30, 2014",2014,Arsenal,midfielder
Joel Campbell,22,€5.00m,Olympiacos,"End of loanJun 30, 2014",2014,Arsenal,forward
Yaya Sanogo,22,€1.50m,Crystal Palace,"End of loanMay 31, 2015",2014,Arsenal,forward
Francis Coquelin,23,€3.00m,Charlton,"End of loanDec 12, 2014",2014,Arsenal,midfielder
Johan Djourou,27,€3.00m,Hamburger SV,"End of loanJun 30, 2014",2014,Arsenal,defender
Semi Ajayi,21,-,Cardiff,"End of loanMay 31, 2015",2014,Arsenal,defender
Wellington Silva,21,€400k,Real Murcia,"End of loanJun 30, 2014",2014,Arsenal,forward
Wellington Silva,22,€1.50m,UD Almería,"End of loanMay 31, 2015",2014,Arsenal,forward
Kristoffer Olsson,19,€100k,FC Midtjylland,"End of loanJan 3, 2015",2014,Arsenal,midfielder
Mesut Özil,24,€40.00m,Real Madrid,€47.00m,2013,Arsenal,midfielder
Emiliano Viviano,27,€7.00m,US Palermo,Loan fee:€1.00m,2013,Arsenal,goalkeeper
Kim Källström,31,€3.00m,Spartak Moscow,Loan fee:€750k,2013,Arsenal,midfielder
Semi Ajayi,19,-,Charlton,€500k,2013,Arsenal,defender
Mathieu Flamini,29,€5.00m,AC Milan,free transfer,2013,Arsenal,midfielder
Yaya Sanogo,20,€1.00m,AJ Auxerre,free transfer,2013,Arsenal,forward
Kristoffer Olsson,18,-,Arsenal U18,-,2013,Arsenal,midfielder
Serge Gnabry,17,-,Arsenal U18,-,2013,Arsenal,forward
Daniel Boateng,20,-,Arsenal U21,-,2013,Arsenal,defender
Nico Yennaris,20,€300k,Bournemouth,"End of loanJan 2, 2014",2013,Arsenal,midfielder
Joel Campbell,21,€2.50m,Real Betis,"End of loanJun 30, 2013",2013,Arsenal,forward
Johan Djourou,26,€5.00m,Hannover 96,"End of loanJun 30, 2013",2013,Arsenal,defender
Chu-young Park,28,€1.00m,Watford,"End of loanMay 31, 2014",2013,Arsenal,forward
Denílson,25,€5.00m,São Paulo,"End of loanJun 30, 2013",2013,Arsenal,midfielder
Chu-young Park,27,€2.00m,Celta de Vigo,"End of loanJun 30, 2013",2013,Arsenal,forward
Ignasi Miquel,21,€400k,Leicester,"End of loanMay 31, 2014",2013,Arsenal,defender
André Santos,30,€2.50m,Grêmio,"End of loanJun 30, 2013",2013,Arsenal,defender
Emiliano Martínez,21,€300k,Sheff Wed,"End of loanMay 31, 2014",2013,Arsenal,goalkeeper
Daniel Boateng,21,€50k,Hibernian FC,"End of loanMay 31, 2014",2013,Arsenal,defender
Wellington Silva,20,€400k,Ponferradina,"End of loanJun 30, 2013",2013,Arsenal,forward
Nicklas Bendtner,25,€5.50m,Juventus,"End of loanJun 30, 2013",2013,Arsenal,forward
Santi Cazorla,27,€20.00m,Málaga CF,€19.00m,2012,Arsenal,midfielder
Lukas Podolski,27,€20.00m,1.FC Köln,€15.00m,2012,Arsenal,forward
Olivier Giroud,25,€13.00m,Montpellier,€12.00m,2012,Arsenal,forward
Nacho Monreal,26,€6.00m,Málaga CF,€10.00m,2012,Arsenal,defender
James Shea,21,-,Arsenal U21,-,2012,Arsenal,goalkeeper
Emiliano Martínez,19,-,Arsenal U21,-,2012,Arsenal,goalkeeper
Martin Angha,18,€100k,Arsenal U18,-,2012,Arsenal,defender
Wellington Silva,19,€500k,CD Alcoyano,"End of loanJun 30, 2012",2012,Arsenal,forward
Joel Campbell,20,€1.50m,FC Lorient,"End of loanJun 30, 2012",2012,Arsenal,forward
Ryo Miyaichi,20,€2.50m,Wigan,"End of loanMay 31, 2013",2012,Arsenal,forward
Pedro Botelho,22,€1.50m,Levante,"End of loanJun 30, 2012",2012,Arsenal,defender
Marouane Chamakh,29,€3.50m,West Ham,"End of loanMay 31, 2013",2012,Arsenal,forward
Craig Eastmond,22,€500k,Colchester Utd.,"End of loanDec 11, 2012",2012,Arsenal,midfielder
Emmanuel Frimpong,21,€1.50m,Fulham,"End of loanMay 31, 2013",2012,Arsenal,midfielder
Carlos Vela,23,€6.00m,Real Sociedad,"End of loanJun 30, 2012",2012,Arsenal,forward
Emmanuel Frimpong,20,€1.50m,Charlton,"End of loanDec 31, 2012",2012,Arsenal,midfielder
Alex Oxlade-Chamberlain,17,€2.50m,Southampton,€13.80m,2011,Arsenal,midfielder
Gervinho,24,€15.00m,LOSC Lille,€12.00m,2011,Arsenal,forward
Mikel Arteta,29,€15.00m,Everton,€12.00m,2011,Arsenal,midfielder
Per Mertesacker,26,€12.50m,Werder Bremen,€11.30m,2011,Arsenal,defender
André Santos,28,€8.50m,Fenerbahce,€7.00m,2011,Arsenal,defender
Chu-young Park,26,€7.00m,Monaco,€6.50m,2011,Arsenal,forward
Carl Jenkinson,19,€50k,Charlton,€1.13m,2011,Arsenal,defender
Joel Campbell,19,-,Saprissa,€1.00m,2011,Arsenal,forward
Thomas Eisfeld,19,-,B. Dortmund U19,€750k,2011,Arsenal,midfielder
Thierry Henry,34,€3.00m,New York,loan transfer,2011,Arsenal,forward
Yossi Benayoun,31,€8.50m,Chelsea,loan transfer,2011,Arsenal,forward
Ignasi Miquel,18,-,Arsenal Res.,-,2011,Arsenal,defender
Nico Yennaris,18,-,Arsenal U18,-,2011,Arsenal,midfielder
Elton Monteiro,17,-,Arsenal U18,-,2011,Arsenal,defender
Francis Coquelin,20,€1.30m,Arsenal Res.,-,2011,Arsenal,midfielder
Emmanuel Frimpong,19,€200k,Arsenal Res.,-,2011,Arsenal,midfielder
Nico Yennaris,19,-,Notts County,"End of loanMay 31, 2012",2011,Arsenal,midfielder
Ryo Miyaichi,19,€2.50m,Bolton,"End of loanMay 17, 2012",2011,Arsenal,forward
Gavin Hoyte,21,€350k,AFC Wimbledon,"End of loanFeb 1, 2012",2011,Arsenal,defender
Wellington Silva,18,€700k,Levante,"End of loanDec 31, 2011",2011,Arsenal,forward
Pedro Botelho,21,€1.50m,FC Cartagena,"End of loanJun 30, 2011",2011,Arsenal,defender
Carlos Vela,22,€5.00m,West Brom,"End of loanJun 30, 2011",2011,Arsenal,forward
Emmanuel Frimpong,20,€1.50m,Wolves,"End of loanFeb 15, 2012",2011,Arsenal,midfielder
Andrey Arshavin,31,€11.00m,Zenit S-Pb,"End of loanMay 31, 2012",2011,Arsenal,forward
Vito Mannone,24,€750k,Hull City,"End of loanMay 1, 2012",2011,Arsenal,goalkeeper
Armand Traoré,21,€1.50m,Juventus,"End of loanJun 30, 2011",2011,Arsenal,defender
Craig Eastmond,21,€500k,Wycombe,"End of loanMay 31, 2012",2011,Arsenal,midfielder
Henri Lansbury,21,€1.25m,West Ham,"End of loanMay 20, 2012",2011,Arsenal,midfielder
Manuel Almunia,34,€2.00m,West Ham,"End of loanNov 1, 2011",2011,Arsenal,goalkeeper
Gavin Hoyte,20,€350k,Lincoln City,"End of loanJun 1, 2011",2011,Arsenal,defender
Pedro Botelho,22,€1.50m,Rayo Vallecano,"End of loanJan 19, 2012",2011,Arsenal,defender
Nicklas Bendtner,24,€7.50m,Sunderland,"End of loanMay 14, 2012",2011,Arsenal,forward
Ryo Miyaichi,18,€2.00m,Feyenoord,"End of loanJun 30, 2011",2011,Arsenal,forward
Laurent Koscielny,24,€5.00m,FC Lorient,€12.50m,2010,Arsenal,defender
Sébastien Squillaci,30,€8.00m,Sevilla FC,€6.50m,2010,Arsenal,defender
Wellington Silva,18,€800k,Fluminense,€4.00m,2010,Arsenal,forward
Marouane Chamakh,26,€15.00m,G. Bordeaux,free transfer,2010,Arsenal,forward
Ryo Miyaichi,18,-,Chukyo HS,?,2010,Arsenal,forward
Jens Lehmann,41,-,Career break,-,2010,Arsenal,goalkeeper
Aaron Ramsey,20,€6.00m,Nottm Forest,"End of loanDec 31, 2010",2010,Arsenal,midfielder
Jay Emmanuel-Thomas,20,€300k,Cardiff,"End of loanMay 23, 2011",2010,Arsenal,midfielder
Nacer Barazite,20,€750k,Vitesse,"End of loanDec 23, 2010",2010,Arsenal,midfielder
Gavin Hoyte,19,€300k,Brighton,"End of loanJun 1, 2010",2010,Arsenal,defender
Pedro Botelho,20,€1.00m,Celta de Vigo,"End of loanJun 30, 2010",2010,Arsenal,defender
Mark Randall,20,€250k,MK Dons,"End of loanJun 1, 2010",2010,Arsenal,midfielder
Aaron Ramsey,20,€6.00m,Cardiff,"End of loanFeb 28, 2011",2010,Arsenal,midfielder
Craig Eastmond,20,€500k,Millwall,"End of loanMay 31, 2011",2010,Arsenal,midfielder
Mark Randall,21,€250k,Rotherham,"End of loanMay 10, 2011",2010,Arsenal,midfielder
Jay Emmanuel-Thomas,19,€300k,Doncaster,"End of loanJun 1, 2010",2010,Arsenal,midfielder
Vito Mannone,23,€1.00m,Hull City,"End of loanMay 8, 2011",2010,Arsenal,goalkeeper
Henri Lansbury,20,€600k,Norwich,"End of loanMay 31, 2011",2010,Arsenal,midfielder
Thomas Vermaelen,23,€6.00m,Ajax,€12.00m,2009,Arsenal,defender
Jay Emmanuel-Thomas,18,-,Arsenal U18,-,2009,Arsenal,midfielder
Sol Campbell,35,€1.50m,Without Club,-,2009,Arsenal,defender
Craig Eastmond,19,-,Arsenal U18,-,2009,Arsenal,midfielder
Wojciech Szczęsny,20,€475k,Brentford,"End of loanMay 30, 2010",2009,Arsenal,goalkeeper
Philippe Senderos,24,€5.00m,AC Milan,"End of loanJun 30, 2009",2009,Arsenal,defender
Kerrea Gilbert,23,€300k,Peterborough,"End of loanMay 1, 2010",2009,Arsenal,defender
Jay Emmanuel-Thomas,18,-,Blackpool,"End of loanNov 17, 2009",2009,Arsenal,midfielder
Gavin Hoyte,18,€50k,Watford,"End of loanJun 1, 2009",2009,Arsenal,defender
Pedro Botelho,19,€500k,UD Salamanca,"End of loanJun 30, 2009",2009,Arsenal,defender
Henri Lansbury,19,€600k,Watford,"End of loanMay 30, 2010",2009,Arsenal,midfielder
Philippe Senderos,25,€3.00m,Everton,"End of loanMay 1, 2010",2009,Arsenal,defender
Jack Wilshere,18,€3.00m,Bolton,"End of loanMay 30, 2010",2009,Arsenal,midfielder
Andrey Arshavin,27,€24.00m,Zenit S-Pb,€16.50m,2008,Arsenal,forward
Samir Nasri,21,€15.00m,Marseille,€16.00m,2008,Arsenal,midfielder
Aaron Ramsey,17,€5.00m,Cardiff,€6.40m,2008,Arsenal,midfielder
Mikaël Silvestre,31,€3.50m,Man Utd,€950k,2008,Arsenal,defender
Amaury Bischoff,21,€300k,W. Bremen II,€300k,2008,Arsenal,midfielder
Jack Wilshere,16,-,Arsenal U18,-,2008,Arsenal,midfielder
Henri Lansbury,17,€50k,Arsenal U18,-,2008,Arsenal,midfielder
Wojciech Szczęsny,18,€100k,Arsenal U18,-,2008,Arsenal,goalkeeper
Nacer Barazite,18,-,Arsenal U18,-,2008,Arsenal,midfielder
Henri Lansbury,18,€50k,Scunthorpe Utd.,"End of loanMay 25, 2009",2008,Arsenal,midfielder
Carlos Vela,19,€6.00m,CA Osasuna,"End of loanJun 30, 2008",2008,Arsenal,forward
Nacer Barazite,18,€1.00m,Derby,"End of loanMay 25, 2009",2008,Arsenal,midfielder
Armand Traoré,19,€2.20m,Portsmouth,"End of loanMay 1, 2009",2008,Arsenal,defender
Fran Mérida,18,€2.60m,Real Sociedad,"End of loanJun 30, 2008",2008,Arsenal,midfielder
Kerrea Gilbert,22,€300k,Leicester,"End of loanMay 1, 2009",2008,Arsenal,defender
Eduardo,24,€7.65m,Dinamo Zagreb,€13.50m,2007,Arsenal,forward
Bacary Sagna,24,€6.00m,AJ Auxerre,€9.00m,2007,Arsenal,defender
Lukasz Fabianski,22,€2.50m,Legia Warszawa,€4.35m,2007,Arsenal,goalkeeper
Lassana Diarra,22,€4.70m,Chelsea,€2.90m,2007,Arsenal,midfielder
Pedro Botelho,17,-,Figueirense U17,€1.20m,2007,Arsenal,defender
Mark Randall,17,€125k,Arsenal U18,-,2007,Arsenal,midfielder
Armand Traoré,17,€650k,Arsenal U18,-,2007,Arsenal,defender
Fran Mérida,17,€1.50m,Arsenal U18,-,2007,Arsenal,midfielder
Nicklas Bendtner,19,€1.50m,Arsenal Res.,-,2007,Arsenal,forward
Kieran Gibbs,17,-,Arsenal U18,-,2007,Arsenal,defender
Gavin Hoyte,17,€50k,Arsenal U18,-,2007,Arsenal,defender
Kerrea Gilbert,21,€450k,Southend United,"End of loanMay 1, 2008",2007,Arsenal,defender
Mark Randall,18,€250k,Burnley,"End of loanMay 5, 2008",2007,Arsenal,midfielder
Carlos Vela,18,€3.00m,UD Salamanca,"End of loanJun 30, 2007",2007,Arsenal,forward
Kieran Gibbs,18,€250k,Norwich,"End of loanApr 27, 2008",2007,Arsenal,defender
Johan Djourou,20,€3.50m,Birmingham,"End of loanDec 31, 2007",2007,Arsenal,defender
José Antonio Reyes,23,€16.70m,Real Madrid,"End of loanJun 30, 2007",2007,Arsenal,forward
Tomas Rosicky,25,€11.00m,Bor. Dortmund,€10.00m,2006,Arsenal,midfielder
Denílson,18,-,São Paulo,€5.00m,2006,Arsenal,midfielder
William Gallas,29,€14.70m,Chelsea,free transfer,2006,Arsenal,defender
Joe O'Cearuill,19,-,Watford U18,free transfer,2006,Arsenal,defender
Júlio Baptista,24,€20.00m,Real Madrid,loan transfer,2006,Arsenal,midfielder
Kerrea Gilbert,20,€200k,Cardiff,"End of loanMay 1, 2007",2006,Arsenal,defender
Justin Hoyte,21,€800k,Sunderland,"End of loanJun 30, 2006",2006,Arsenal,defender
Joe O'Cearuill,20,€250k,Brighton,"End of loanMay 1, 2007",2006,Arsenal,defender
Alex Song,19,€2.90m,Charlton,"End of loanMay 14, 2007",2006,Arsenal,midfielder
Vito Mannone,18,€500k,Barnsley FC,"End of loanOct 23, 2006",2006,Arsenal,goalkeeper
Arturo Lupoli,19,€1.60m,Derby,"End of loanMay 1, 2007",2006,Arsenal,forward
Sebastian Svärd,23,€700k,Vit. Guimarães,"End of loanJun 30, 2006",2006,Arsenal,midfielder
