Player Name,Age,Position,Market value,Joined,Fee,Year,Club
Folarin Balogun,22,forward,€30.00m,Monaco,€30.00m,2023,Arsenal
Granit Xhaka,30,midfielder,€20.00m,B. Leverkusen,€15.00m,2023,Arsenal
Matt Turner,29,goalkeeper,€7.00m,Nottm Forest,€8.15m,2023,Arsenal
Pablo Marí,29,defender,€3.50m,Monza,€6.20m,2023,Arsenal
Auston Trusty,24,defender,€7.00m,Sheff Utd,€5.80m,2023,Arsenal
Kieran Tierney,26,defender,€12.00m,Real Sociedad,Loan fee:€1.40m,2023,Arsenal
Rob Holding,27,defender,€5.00m,Crystal Palace,€1.20m,2023,Arsenal
Nuno Tavares,23,defender,€15.00m,Nottm Forest,Loan fee:€1.15m,2023,Arsenal
Marquinhos,20,forward,€7.00m,FC Nantes,Loan fee:€300k,2023,Arsenal
Rúnar Alex Rúnarsson,28,goalkeeper,€700k,FC Copenhagen,free transfer,2023,Arsenal
Nicolas Pépé,28,forward,€8.50m,Trabzonspor,free transfer,2023,Arsenal
Ainsley Maitland-Niles,25,midfielder,€9.00m,Olympique Lyon,free transfer,2023,Arsenal
Albert Sambi Lokonga,23,midfielder,€15.00m,Luton,loan transfer,2023,Arsenal
Rúnar Alex Rúnarsson,28,goalkeeper,€700k,Cardiff,loan transfer,2023,Arsenal
Arthur Okonkwo,21,goalkeeper,€1.80m,Wrexham,loan transfer,2023,Arsenal
Marquinhos,20,forward,€7.00m,Fluminense,loan transfer,2023,Arsenal
Mattéo Guendouzi,23,midfielder,€25.00m,Marseille,€11.00m,2022,Arsenal
Lucas Torreira,26,midfielder,€15.00m,Galatasaray,€6.00m,2022,Arsenal
Bernd Leno,30,goalkeeper,€13.00m,Fulham,€3.60m,2022,Arsenal
Konstantinos Mavropanos,24,defender,€20.00m,VfB Stuttgart,€3.20m,2022,Arsenal
Héctor Bellerín,27,defender,€4.00m,Barcelona,free transfer,2022,Arsenal
Alexandre Lacazette,31,forward,€9.00m,Olympique Lyon,free transfer,2022,Arsenal
Pablo Marí,28,defender,€3.50m,Monza,loan transfer,2022,Arsenal
Ainsley Maitland-Niles,25,midfielder,€9.00m,Southampton,loan transfer,2022,Arsenal
Folarin Balogun,21,forward,€30.00m,Stade Reims,loan transfer,2022,Arsenal
Nicolas Pépé,27,forward,€8.50m,OGC Nice,loan transfer,2022,Arsenal
Cédric Soares,31,defender,€2.00m,Fulham,loan transfer,2022,Arsenal
Albert Sambi Lokonga,23,midfielder,€15.00m,Crystal Palace,loan transfer,2022,Arsenal
Nuno Tavares,22,defender,€15.00m,Marseille,loan transfer,2022,Arsenal
Rúnar Alex Rúnarsson,27,goalkeeper,€700k,Alanyaspor,loan transfer,2022,Arsenal
Arthur Okonkwo,20,goalkeeper,€1.80m,Crewe Alexandra,loan transfer,2022,Arsenal
Marquinhos,19,forward,€7.00m,Norwich,loan transfer,2022,Arsenal
Auston Trusty,23,defender,€7.00m,Birmingham,loan transfer,2022,Arsenal
Arthur Okonkwo,21,goalkeeper,€1.80m,Sturm Graz,loan transfer,2022,Arsenal
Joe Willock,21,midfielder,€30.00m,Newcastle,€29.40m,2021,Arsenal
Lucas Torreira,25,midfielder,€15.00m,Fiorentina,Loan fee:€1.50m,2021,Arsenal
Ainsley Maitland-Niles,24,midfielder,€9.00m,AS Roma,Loan fee:€500k,2021,Arsenal
David Luiz,34,defender,€400k,Flamengo,free transfer,2021,Arsenal
Sead Kolasinac,28,defender,€10.00m,Marseille,free transfer,2021,Arsenal
Willian,33,forward,€3.00m,Corinthians,free transfer,2021,Arsenal
Pierre-Emerick Aubameyang,32,forward,€5.00m,Barcelona,free transfer,2021,Arsenal
Dejan Iliev,26,goalkeeper,€300k,AS Trencin,free transfer,2021,Arsenal
Calum Chambers,27,defender,€4.00m,Aston Villa,free transfer,2021,Arsenal
Auston Trusty,23,defender,€7.00m,Colorado,loan transfer,2021,Arsenal
William Saliba,20,defender,€80.00m,Marseille,loan transfer,2021,Arsenal
Dejan Iliev,26,goalkeeper,€300k,SKF Sered,loan transfer,2021,Arsenal
Rúnar Alex Rúnarsson,26,goalkeeper,€700k,OH Leuven,loan transfer,2021,Arsenal
Mattéo Guendouzi,22,midfielder,€25.00m,Marseille,loan transfer,2021,Arsenal
Reiss Nelson,21,forward,€15.00m,Feyenoord,loan transfer,2021,Arsenal
Pablo Marí,28,defender,€3.50m,Udinese Calcio,loan transfer,2021,Arsenal
Héctor Bellerín,26,defender,€4.00m,Real Betis,loan transfer,2021,Arsenal
Dani Ceballos,24,midfielder,€6.00m,Real Madrid,"End of loanJun 30, 2021",2021,Arsenal
Martin Ødegaard,22,midfielder,€110.00m,Real Madrid,"End of loanJun 30, 2021",2021,Arsenal
Mathew Ryan,29,goalkeeper,€3.50m,Brighton,"End of loanJun 30, 2021",2021,Arsenal
Emiliano Martínez,28,goalkeeper,€28.00m,Aston Villa,€17.40m,2020,Arsenal
Mattéo Guendouzi,21,midfielder,€25.00m,Hertha BSC,Loan fee:€1.00m,2020,Arsenal
Konstantinos Mavropanos,22,defender,€20.00m,VfB Stuttgart,Loan fee:€750k,2020,Arsenal
Matt Macey,26,goalkeeper,€250k,Hibernian FC,free transfer,2020,Arsenal
Sokratis Papastathopoulos,32,defender,-,Olympiacos,free transfer,2020,Arsenal
Henrikh Mkhitaryan,31,midfielder,€6.00m,AS Roma,free transfer,2020,Arsenal
Shkodran Mustafi,28,defender,-,FC Schalke 04,free transfer,2020,Arsenal
Mesut Özil,32,midfielder,-,Fenerbahce,free transfer,2020,Arsenal
Sead Kolasinac,27,defender,€10.00m,FC Schalke 04,loan transfer,2020,Arsenal
William Saliba,19,defender,€80.00m,OGC Nice,loan transfer,2020,Arsenal
Dejan Iliev,25,goalkeeper,€300k,Shrewsbury,loan transfer,2020,Arsenal
Ainsley Maitland-Niles,23,midfielder,€9.00m,West Brom,loan transfer,2020,Arsenal
Joe Willock,21,midfielder,€30.00m,Newcastle,loan transfer,2020,Arsenal
Lucas Torreira,24,midfielder,€15.00m,Atlético Madrid,loan transfer,2020,Arsenal
Cédric Soares,28,defender,€2.00m,Southampton,"End of loanJun 30, 2020",2020,Arsenal
Pablo Marí,26,defender,€3.50m,Flamengo,"End of loanJun 30, 2020",2020,Arsenal
Alex Iwobi,23,forward,€25.00m,Everton,€30.40m,2019,Arsenal
Krystian Bielik,21,midfielder,€2.50m,Derby,€8.20m,2019,Arsenal
Laurent Koscielny,33,defender,-,G. Bordeaux,€5.00m,2019,Arsenal
David Ospina,30,goalkeeper,€2.00m,SSC Napoli,€3.50m,2019,Arsenal
Henrikh Mkhitaryan,30,midfielder,€6.00m,AS Roma,Loan fee:€3.10m,2019,Arsenal
Carl Jenkinson,27,defender,€250k,Nottm Forest,€2.20m,2019,Arsenal
Takuma Asano,24,forward,€4.00m,Partizan,€1.00m,2019,Arsenal
Nacho Monreal,33,defender,-,Real Sociedad,€250k,2019,Arsenal
Aaron Ramsey,28,midfielder,€1.00m,Juventus,free transfer,2019,Arsenal
Stephan Lichtsteiner,35,defender,-,FC Augsburg,free transfer,2019,Arsenal
Danny Welbeck,28,forward,€5.00m,Watford,free transfer,2019,Arsenal
William Saliba,18,defender,€80.00m,Saint-Étienne,loan transfer,2019,Arsenal
Mohamed Elneny,27,midfielder,€3.50m,Besiktas,loan transfer,2019,Arsenal
Konstantinos Mavropanos,22,defender,€20.00m,1.FC Nuremberg,loan transfer,2019,Arsenal
Dejan Iliev,24,goalkeeper,€300k,SKF Sered,loan transfer,2019,Arsenal
Eddie Nketiah,20,forward,€30.00m,Leeds,loan transfer,2019,Arsenal
Dejan Iliev,24,goalkeeper,€300k,Jagiellonia,loan transfer,2019,Arsenal
Petr Cech,37,goalkeeper,-,Retired,-,2019,Arsenal
Denis Suárez,25,midfielder,€1.50m,Barcelona,"End of loanJun 30, 2019",2019,Arsenal
Lucas Pérez,29,forward,€600k,West Ham,€4.40m,2018,Arsenal
Chuba Akpom,22,forward,€12.00m,PAOK Salonika,€2.20m,2018,Arsenal
Joel Campbell,26,forward,€650k,Frosinone,€1.50m,2018,Arsenal
Takuma Asano,23,forward,€4.00m,Hannover 96,Loan fee:€1.00m,2018,Arsenal
Jack Wilshere,26,midfielder,-,West Ham,free transfer,2018,Arsenal
Santi Cazorla,33,midfielder,€300k,Villarreal,free transfer,2018,Arsenal
Matt Macey,23,goalkeeper,€250k,Plymouth,loan transfer,2018,Arsenal
David Ospina,29,goalkeeper,€2.00m,SSC Napoli,loan transfer,2018,Arsenal
Emiliano Martínez,26,goalkeeper,€28.00m,Reading,loan transfer,2018,Arsenal
Krystian Bielik,20,midfielder,€2.50m,Charlton,loan transfer,2018,Arsenal
Calum Chambers,23,defender,€4.00m,Fulham,loan transfer,2018,Arsenal
Per Mertesacker,33,defender,-,Retired,-,2018,Arsenal
Alex Oxlade-Chamberlain,24,midfielder,€4.20m,Liverpool,€38.00m,2017,Arsenal
Alexis Sánchez,29,forward,€2.50m,Man Utd,€34.00m,2017,Arsenal
Theo Walcott,28,forward,-,Everton,€22.50m,2017,Arsenal
Wojciech Szczęsny,27,goalkeeper,€6.00m,Juventus,€18.40m,2017,Arsenal
Olivier Giroud,31,forward,€3.00m,Chelsea,€17.00m,2017,Arsenal
Francis Coquelin,26,midfielder,€1.50m,Valencia,€14.00m,2017,Arsenal
Gabriel Paulista,26,defender,€2.00m,Valencia,€11.00m,2017,Arsenal
Kieran Gibbs,27,defender,-,West Brom,€7.50m,2017,Arsenal
Yaya Sanogo,24,forward,€250k,Toulouse,free transfer,2017,Arsenal
Mathieu Debuchy,32,defender,-,Saint-Étienne,free transfer,2017,Arsenal
Krystian Bielik,20,midfielder,€2.50m,Walsall,loan transfer,2017,Arsenal
Joel Campbell,25,forward,€650k,Real Betis,loan transfer,2017,Arsenal
Emiliano Martínez,24,goalkeeper,€28.00m,Getafe,loan transfer,2017,Arsenal
Lucas Pérez,28,forward,€600k,Dep. La Coruña,loan transfer,2017,Arsenal
Carl Jenkinson,25,defender,€250k,Birmingham,loan transfer,2017,Arsenal
Chuba Akpom,22,forward,€12.00m,Sint-Truiden,loan transfer,2017,Arsenal
Serge Gnabry,21,forward,€40.00m,Werder Bremen,€5.00m,2016,Arsenal
Wellington Silva,23,forward,€400k,Fluminense,€3.00m,2016,Arsenal
Jack Wilshere,24,midfielder,-,Bournemouth,Loan fee:€2.35m,2016,Arsenal
Tomas Rosicky,35,midfielder,-,Sparta Prague,free transfer,2016,Arsenal
Krystian Bielik,19,midfielder,€2.50m,Birmingham,loan transfer,2016,Arsenal
Matt Macey,22,goalkeeper,€250k,Luton,loan transfer,2016,Arsenal
Takuma Asano,21,forward,€4.00m,VfB Stuttgart,loan transfer,2016,Arsenal
Joel Campbell,24,forward,€650k,Sporting CP,loan transfer,2016,Arsenal
Calum Chambers,21,defender,€4.00m,Middlesbrough,loan transfer,2016,Arsenal
Chuba Akpom,21,forward,€12.00m,Brighton,loan transfer,2016,Arsenal
Mikel Arteta,34,midfielder,-,Retired,-,2016,Arsenal
Mathieu Flamini,32,midfielder,-,Without Club,-,2016,Arsenal
Lukas Podolski,30,forward,€200k,Galatasaray,€2.50m,2015,Arsenal
Abou Diaby,29,midfielder,-,Marseille,free transfer,2015,Arsenal
Semi Ajayi,21,defender,€1.50m,Cardiff,free transfer,2015,Arsenal
Ryo Miyaichi,22,forward,€300k,FC St. Pauli,free transfer,2015,Arsenal
Yaya Sanogo,23,forward,€250k,Charlton,loan transfer,2015,Arsenal
Wellington Silva,22,forward,€400k,Bolton,loan transfer,2015,Arsenal
Serge Gnabry,20,forward,€40.00m,West Brom,loan transfer,2015,Arsenal
Yaya Sanogo,22,forward,€250k,Ajax,loan transfer,2015,Arsenal
Wojciech Szczęsny,25,goalkeeper,€6.00m,AS Roma,loan transfer,2015,Arsenal
Emiliano Martínez,22,goalkeeper,€28.00m,Wolves,loan transfer,2015,Arsenal
Mathieu Debuchy,30,defender,-,G. Bordeaux,loan transfer,2015,Arsenal
Chuba Akpom,19,forward,€12.00m,Hull City,loan transfer,2015,Arsenal
Thomas Vermaelen,28,defender,-,Barcelona,€19.00m,2014,Arsenal
Johan Djourou,27,defender,-,Hamburger SV,€2.80m,2014,Arsenal
Ignasi Miquel,21,defender,€1.20m,Norwich,€1.90m,2014,Arsenal
Thomas Eisfeld,21,midfielder,€225k,Fulham,€1.50m,2014,Arsenal
Kristoffer Olsson,19,midfielder,€2.50m,FC Midtjylland,€1.00m,2014,Arsenal
Joel Campbell,22,forward,€650k,Villarreal,Loan fee:€1.00m,2014,Arsenal
Lukas Podolski,29,forward,€200k,Inter,Loan fee:€600k,2014,Arsenal
Bacary Sagna,31,defender,-,Man City,free transfer,2014,Arsenal
Nicklas Bendtner,26,forward,-,VfL Wolfsburg,free transfer,2014,Arsenal
Lukasz Fabianski,29,goalkeeper,€700k,Swansea,free transfer,2014,Arsenal
Daniel Boateng,22,defender,-,FK Olimpik,free transfer,2014,Arsenal
Francis Coquelin,23,midfielder,€1.50m,Charlton,loan transfer,2014,Arsenal
Semi Ajayi,21,defender,€1.50m,Cardiff,loan transfer,2014,Arsenal
Emiliano Martínez,22,goalkeeper,€28.00m,Rotherham,loan transfer,2014,Arsenal
Ryo Miyaichi,21,forward,€300k,Twente FC,loan transfer,2014,Arsenal
Yaya Sanogo,21,forward,€250k,Crystal Palace,loan transfer,2014,Arsenal
Wellington Silva,21,forward,€400k,UD Almería,loan transfer,2014,Arsenal
Kristoffer Olsson,19,midfielder,€2.50m,FC Midtjylland,loan transfer,2014,Arsenal
Carl Jenkinson,22,defender,€250k,West Ham,loan transfer,2014,Arsenal
Chu-young Park,28,forward,€25k,Without Club,-,2014,Arsenal
Emiliano Viviano,28,goalkeeper,€200k,US Palermo,"End of loanJun 30, 2014",2014,Arsenal
Kim Källström,31,midfielder,-,Spartak Moscow,"End of loanJun 30, 2014",2014,Arsenal
Gervinho,26,forward,€150k,AS Roma,€8.00m,2013,Arsenal
Vito Mannone,25,goalkeeper,€200k,Sunderland,€2.40m,2013,Arsenal
Marouane Chamakh,29,forward,-,Crystal Palace,€1.20m,2013,Arsenal
Emmanuel Frimpong,22,midfielder,-,Barnsley FC,€250k,2013,Arsenal
Francis Coquelin,22,midfielder,€1.50m,SC Freiburg,Loan fee:€200k,2013,Arsenal
Nico Yennaris,20,midfielder,€300k,Brentford,€100k,2013,Arsenal
James Shea,22,goalkeeper,€200k,Needham Market,free transfer,2013,Arsenal
Martin Angha,19,defender,€500k,1.FC Nuremberg,free transfer,2013,Arsenal
Craig Eastmond,22,midfielder,€75k,Colchester Utd.,free transfer,2013,Arsenal
Elton Monteiro,19,defender,-,Club Brugge,free transfer,2013,Arsenal
Denílson,25,midfielder,-,São Paulo,free transfer,2013,Arsenal
André Santos,30,defender,-,Flamengo,free transfer,2013,Arsenal
Sébastien Squillaci,32,defender,-,SC Bastia,free transfer,2013,Arsenal
Andrey Arshavin,32,forward,-,Zenit S-Pb,free transfer,2013,Arsenal
Nico Yennaris,20,midfielder,€300k,Bournemouth,loan transfer,2013,Arsenal
Joel Campbell,21,forward,€650k,Olympiacos,loan transfer,2013,Arsenal
Chu-young Park,28,forward,€25k,Watford,loan transfer,2013,Arsenal
Ignasi Miquel,20,defender,€1.20m,Leicester,loan transfer,2013,Arsenal
Johan Djourou,26,defender,-,Hamburger SV,loan transfer,2013,Arsenal
Emiliano Martínez,21,goalkeeper,€28.00m,Sheff Wed,loan transfer,2013,Arsenal
Wellington Silva,20,forward,€400k,Real Murcia,loan transfer,2013,Arsenal
Daniel Boateng,21,defender,-,Hibernian FC,loan transfer,2013,Arsenal
Robin van Persie,29,forward,-,Man Utd,€30.70m,2012,Arsenal
Alex Song,24,midfielder,-,Barcelona,€19.00m,2012,Arsenal
Carlos Vela,23,forward,€1.20m,Real Sociedad,€14.00m,2012,Arsenal
Henri Lansbury,21,midfielder,-,Nottm Forest,€1.25m,2012,Arsenal
Chu-young Park,27,forward,€25k,Celta de Vigo,Loan fee:€500k,2012,Arsenal
Johan Djourou,25,defender,-,Hannover 96,Loan fee:€400k,2012,Arsenal
Manuel Almunia,35,goalkeeper,-,Watford,free transfer,2012,Arsenal
Gavin Hoyte,22,defender,-,Dag & Red FC,free transfer,2012,Arsenal
Pedro Botelho,22,defender,-,Atlético-PR,free transfer,2012,Arsenal
Joel Campbell,20,forward,€650k,Real Betis,loan transfer,2012,Arsenal
Ryo Miyaichi,19,forward,€300k,Wigan,loan transfer,2012,Arsenal
Marouane Chamakh,28,forward,-,West Ham,loan transfer,2012,Arsenal
Craig Eastmond,21,midfielder,€75k,Colchester Utd.,loan transfer,2012,Arsenal
André Santos,29,defender,-,Grêmio,loan transfer,2012,Arsenal
Emmanuel Frimpong,20,midfielder,-,Charlton,loan transfer,2012,Arsenal
Nicklas Bendtner,24,forward,-,Juventus,loan transfer,2012,Arsenal
Emmanuel Frimpong,21,midfielder,-,Fulham,loan transfer,2012,Arsenal
Wellington Silva,19,forward,€400k,Ponferradina,loan transfer,2012,Arsenal
Cesc Fàbregas,24,midfielder,-,Barcelona,€34.00m,2011,Arsenal
Samir Nasri,24,midfielder,-,Man City,€27.50m,2011,Arsenal
Gaël Clichy,25,defender,-,Man City,€7.75m,2011,Arsenal
Emmanuel Eboué,28,defender,-,Galatasaray,€3.50m,2011,Arsenal
Armand Traoré,21,defender,-,QPR,€1.35m,2011,Arsenal
Jay Emmanuel-Thomas,20,midfielder,-,Ipswich,€1.25m,2011,Arsenal
Andrey Arshavin,30,forward,-,Zenit S-Pb,Loan fee:€1.20m,2011,Arsenal
Nicklas Bendtner,23,forward,-,Sunderland,Loan fee:€1.00m,2011,Arsenal
Denílson,23,midfielder,-,São Paulo,Loan fee:€400k,2011,Arsenal
Pedro Botelho,21,defender,-,Rayo Vallecano,Loan fee:€340k,2011,Arsenal
Mark Randall,21,midfielder,€100k,Chesterfield FC,free transfer,2011,Arsenal
Joel Campbell,19,forward,€650k,FC Lorient,loan transfer,2011,Arsenal
Ryo Miyaichi,19,forward,€300k,Bolton,loan transfer,2011,Arsenal
Gavin Hoyte,21,defender,-,AFC Wimbledon,loan transfer,2011,Arsenal
Pedro Botelho,22,defender,-,Levante,loan transfer,2011,Arsenal
Emmanuel Frimpong,19,midfielder,-,Wolves,loan transfer,2011,Arsenal
Vito Mannone,23,goalkeeper,€200k,Hull City,loan transfer,2011,Arsenal
Craig Eastmond,21,midfielder,€75k,Wycombe,loan transfer,2011,Arsenal
Henri Lansbury,20,midfielder,-,West Ham,loan transfer,2011,Arsenal
Manuel Almunia,34,goalkeeper,-,West Ham,loan transfer,2011,Arsenal
Nico Yennaris,18,midfielder,€300k,Notts County,loan transfer,2011,Arsenal
Wellington Silva,19,forward,€400k,CD Alcoyano,loan transfer,2011,Arsenal
Carlos Vela,22,forward,€1.20m,Real Sociedad,loan transfer,2011,Arsenal
Jens Lehmann,41,goalkeeper,-,Retired,-,2011,Arsenal
Thierry Henry,34,forward,-,New York,"End of loanFeb 16, 2012",2011,Arsenal
Yossi Benayoun,32,forward,-,Chelsea,"End of loanMay 30, 2012",2011,Arsenal
Eduardo,27,forward,-,Shakhtar D.,€7.20m,2010,Arsenal
Armand Traoré,20,defender,-,Juventus,Loan fee:€500k,2010,Arsenal
Nacer Barazite,20,midfielder,-,Austria Vienna,€400k,2010,Arsenal
Mikaël Silvestre,33,defender,-,Werder Bremen,free transfer,2010,Arsenal
Philippe Senderos,25,defender,-,Fulham,free transfer,2010,Arsenal
William Gallas,33,defender,-,Tottenham,free transfer,2010,Arsenal
Fran Mérida,20,midfielder,€150k,Atlético Madrid,free transfer,2010,Arsenal
Sol Campbell,35,defender,-,Newcastle,free transfer,2010,Arsenal
Aaron Ramsey,19,midfielder,€1.00m,Nottm Forest,loan transfer,2010,Arsenal
Jay Emmanuel-Thomas,20,midfielder,-,Cardiff,loan transfer,2010,Arsenal
Nacer Barazite,20,midfielder,-,Vitesse,loan transfer,2010,Arsenal
Ryo Miyaichi,18,forward,€300k,Feyenoord,loan transfer,2010,Arsenal
Aaron Ramsey,20,midfielder,€1.00m,Cardiff,loan transfer,2010,Arsenal
Pedro Botelho,20,defender,-,FC Cartagena,loan transfer,2010,Arsenal
Craig Eastmond,20,midfielder,€75k,Millwall,loan transfer,2010,Arsenal
Gavin Hoyte,20,defender,-,Lincoln City,loan transfer,2010,Arsenal
Mark Randall,21,midfielder,€100k,Rotherham,loan transfer,2010,Arsenal
Vito Mannone,22,goalkeeper,€200k,Hull City,loan transfer,2010,Arsenal
Henri Lansbury,20,midfielder,-,Norwich,loan transfer,2010,Arsenal
Wellington Silva,18,forward,€400k,Levante,loan transfer,2010,Arsenal
Carlos Vela,21,forward,€1.20m,West Brom,loan transfer,2010,Arsenal
Kerrea Gilbert,23,defender,-,Without Club,-,2010,Arsenal
Emmanuel Adebayor,25,forward,-,Man City,€29.00m,2009,Arsenal
Kolo Touré,28,defender,-,Man City,€18.70m,2009,Arsenal
Amaury Bischoff,22,midfielder,-,Coimbra,free transfer,2009,Arsenal
Pedro Botelho,19,defender,-,Celta de Vigo,loan transfer,2009,Arsenal
Jack Wilshere,18,midfielder,-,Bolton,loan transfer,2009,Arsenal
Mark Randall,20,midfielder,€100k,MK Dons,loan transfer,2009,Arsenal
Jay Emmanuel-Thomas,18,midfielder,-,Blackpool,loan transfer,2009,Arsenal
Jay Emmanuel-Thomas,19,midfielder,-,Doncaster,loan transfer,2009,Arsenal
Wojciech Szczęsny,19,goalkeeper,€6.00m,Brentford,loan transfer,2009,Arsenal
Philippe Senderos,24,defender,-,Everton,loan transfer,2009,Arsenal
Kerrea Gilbert,22,defender,-,Peterborough,loan transfer,2009,Arsenal
Henri Lansbury,18,midfielder,-,Watford,loan transfer,2009,Arsenal
Gavin Hoyte,19,defender,-,Brighton,loan transfer,2009,Arsenal
Aleksandr Hleb,27,midfielder,-,Barcelona,€17.00m,2008,Arsenal
Justin Hoyte,23,defender,-,Middlesbrough,€3.80m,2008,Arsenal
Gilberto Silva,31,midfielder,-,Panathinaikos,€2.50m,2008,Arsenal
Philippe Senderos,23,defender,-,AC Milan,Loan fee:€2.50m,2008,Arsenal
Jens Lehmann,38,goalkeeper,-,VfB Stuttgart,free transfer,2008,Arsenal
Mathieu Flamini,24,midfielder,-,AC Milan,free transfer,2008,Arsenal
Henri Lansbury,18,midfielder,-,Scunthorpe Utd.,loan transfer,2008,Arsenal
Kerrea Gilbert,21,defender,-,Leicester,loan transfer,2008,Arsenal
Nacer Barazite,18,midfielder,-,Derby,loan transfer,2008,Arsenal
Gavin Hoyte,18,defender,-,Watford,loan transfer,2008,Arsenal
Armand Traoré,18,defender,-,Portsmouth,loan transfer,2008,Arsenal
Thierry Henry,29,forward,-,Barcelona,€24.00m,2007,Arsenal
José Antonio Reyes,23,forward,-,Atlético Madrid,€12.00m,2007,Arsenal
Lassana Diarra,22,midfielder,-,Portsmouth,€7.00m,2007,Arsenal
Fabrice Muamba,19,midfielder,-,Birmingham,€6.00m,2007,Arsenal
Freddie Ljungberg,30,midfielder,-,West Ham,€4.50m,2007,Arsenal
Jérémie Aliadière,24,forward,-,Middlesbrough,€3.00m,2007,Arsenal
Pedro Botelho,17,defender,-,UD Salamanca,Loan fee:€125k,2007,Arsenal
Mart Poom,35,goalkeeper,-,Watford,€100k,2007,Arsenal
Joe O'Cearuill,20,defender,-,Barnet,free transfer,2007,Arsenal
Ryan Garry,23,defender,-,Bournemouth,free transfer,2007,Arsenal
Arturo Lupoli,20,forward,-,Fiorentina,free transfer,2007,Arsenal
Mark Randall,18,midfielder,€100k,Burnley,loan transfer,2007,Arsenal
Kieran Gibbs,18,defender,-,Norwich,loan transfer,2007,Arsenal
Carlos Vela,18,forward,€1.20m,CA Osasuna,loan transfer,2007,Arsenal
Johan Djourou,20,defender,-,Birmingham,loan transfer,2007,Arsenal
Fran Mérida,17,midfielder,€150k,Real Sociedad,loan transfer,2007,Arsenal
Kerrea Gilbert,20,defender,-,Southend United,loan transfer,2007,Arsenal
Júlio Baptista,25,midfielder,-,Real Madrid,"End of loanJun 30, 2007",2007,Arsenal
Ashley Cole,25,defender,-,Chelsea,€7.40m,2006,Arsenal
Pascal Cygan,32,defender,-,Villarreal,€2.90m,2006,Arsenal
Sebastian Larsson,21,midfielder,-,Birmingham,€1.50m,2006,Arsenal
Laurén,29,defender,-,Portsmouth,€550k,2006,Arsenal
Sebastian Svärd,23,midfielder,-,Bor. M'gladbach,€300k,2006,Arsenal
Alex Song,19,midfielder,-,Charlton,Loan fee:€275k,2006,Arsenal
Graham Stack,24,goalkeeper,-,Reading,free transfer,2006,Arsenal
Robert Pirès,32,midfielder,-,Villarreal,free transfer,2006,Arsenal
Sol Campbell,31,defender,-,Portsmouth,free transfer,2006,Arsenal
Arturo Lupoli,19,forward,-,Derby,loan transfer,2006,Arsenal
Carlos Vela,17,forward,€1.20m,UD Salamanca,loan transfer,2006,Arsenal
Kerrea Gilbert,19,defender,-,Cardiff,loan transfer,2006,Arsenal
Vito Mannone,18,goalkeeper,€200k,Barnsley FC,loan transfer,2006,Arsenal
Joe O'Cearuill,19,defender,-,Brighton,loan transfer,2006,Arsenal
Sebastian Larsson,21,midfielder,-,Birmingham,loan transfer,2006,Arsenal
Fabrice Muamba,18,midfielder,-,Birmingham,loan transfer,2006,Arsenal
José Antonio Reyes,22,forward,-,Real Madrid,loan transfer,2006,Arsenal
Dennis Bergkamp,37,forward,-,Retired,-,2006,Arsenal
Patrick Vieira,29,midfielder,-,Juventus,€20.00m,2005,Arsenal
Quincy Owusu-Abeyie,19,forward,-,Spartak Moscow,€2.50m,2005,Arsenal
David Bentley,21,midfielder,-,Blackburn,€1.75m,2005,Arsenal
Jermaine Pennant,22,forward,-,Birmingham,€750k,2005,Arsenal
Stuart Taylor,24,goalkeeper,-,Aston Villa,free transfer,2005,Arsenal
Daniel Karbassiyoon,20,defender,-,Burnley,free transfer,2005,Arsenal
Ólafur Ingi Skúlason,22,midfielder,-,Brentford,free transfer,2005,Arsenal
Frank Simek,20,defender,-,Sheff Wed,free transfer,2005,Arsenal
Edú Gaspar,27,midfielder,-,Valencia,free transfer,2005,Arsenal
Justin Hoyte,20,defender,-,Sunderland,loan transfer,2005,Arsenal
Sebastian Svärd,22,midfielder,-,Vit. Guimarães,loan transfer,2005,Arsenal
Jérémie Aliadière,22,forward,-,Celtic,loan transfer,2005,Arsenal
Jérémie Aliadière,22,forward,-,West Ham,loan transfer,2005,Arsenal
Jérémie Aliadière,22,forward,-,Wolves,loan transfer,2005,Arsenal
David Bentley,20,midfielder,-,Blackburn,loan transfer,2005,Arsenal
Carlos Vela,16,forward,€1.20m,Celta de Vigo,loan transfer,2005,Arsenal
Patrick Cregg,19,midfielder,-,Falkirk,?,2005,Arsenal
Graham Stack,23,goalkeeper,-,Reading,loan transfer,2005,Arsenal
Francis Jeffers,23,forward,-,Charlton,€3.90m,2004,Arsenal
Igors Stepanovs,28,defender,-,Grasshoppers,free transfer,2004,Arsenal
Giovanni van Bronckhorst,29,defender,-,Barcelona,free transfer,2004,Arsenal
Sylvain Wiltord,30,forward,-,Olympique Lyon,free transfer,2004,Arsenal
Liam Chilvers,22,defender,-,Colchester Utd.,free transfer,2004,Arsenal
Stathis Tavlaridis,24,defender,-,LOSC Lille,free transfer,2004,Arsenal
Martin Keown,37,defender,-,Leicester,free transfer,2004,Arsenal
Ray Parlour,31,midfielder,-,Middlesbrough,free transfer,2004,Arsenal
Nwankwo Kanu,27,forward,-,West Brom,free transfer,2004,Arsenal
Stephen Bradley,19,midfielder,-,Dunfermline A.,free transfer,2004,Arsenal
Daniel Karbassiyoon,20,defender,-,Ipswich,loan transfer,2004,Arsenal
