Rank,Club,Total Passes,Year,Total Passes Diff
1,Man City,25072,2022,-1060.0
1,Man City,26132,2021,481.0
1,Man City,25651,2020,-678.0
1,Man City,26329,2019,-252.0
1,Man City,26581,2018,-1660.0
1,Man City,28241,2017,5536.0
1,Man City,22705,2016,2217.0
2,Man City,20488,2015,-1619.0
1,Man City,22107,2014,1333.0
3,Man City,20774,2013,700.0
2,Man City,20074,2012,-789.0
1,Man City,20863,2011,3095.0
4,Man City,17768,2010,1439.0
6,Man City,16329,2009,346.0
6,Man City,15983,2008,834.0
6,Man City,15149,2007,2384.0
11,Man City,12765,2006,
9,Man Utd,18070,2023,-1016.0
6,Man Utd,19086,2022,51.0
5,Man Utd,19035,2021,-1961.0
4,Man Utd,20996,2020,937.0
4,Man Utd,20059,2019,857.0
6,Man Utd,19202,2018,-862.0
6,Man Utd,20064,2017,-183.0
4,Man Utd,20247,2016,177.0
3,Man Utd,20070,2015,-1241.0
2,Man Utd,21311,2014,2401.0
6,Man Utd,18910,2013,-799.0
5,Man Utd,19709,2012,-484.0
4,Man Utd,20193,2011,1323.0
3,Man Utd,18870,2010,-469.0
1,Man Utd,19339,2009,-105.0
3,Man Utd,19444,2008,2022.0
2,Man Utd,17422,2007,-1301.0
1,Man Utd,18723,2006,
11,Middlesbrough,15736,2016,
15,Middlesbrough,13148,2008,931.0
14,Middlesbrough,12217,2007,-569.0
10,Middlesbrough,12786,2006,
8,Newcastle,18230,2023,2178.0
11,Newcastle,16052,2022,3549.0
19,Newcastle,12503,2021,-613.0
19,Newcastle,13116,2020,50.0
19,Newcastle,13066,2019,-424.0
18,Newcastle,13490,2018,-538.0
17,Newcastle,14028,2017,
13,Newcastle,15118,2015,99.0
12,Newcastle,15019,2014,-1083.0
10,Newcastle,16102,2013,1498.0
12,Newcastle,14604,2012,-34.0
14,Newcastle,14638,2011,434.0
14,Newcastle,14204,2010,
12,Newcastle,14172,2008,225.0
7,Newcastle,13947,2007,-681.0
6,Newcastle,14628,2006,
16,Norwich,14466,2021,
9,Norwich,17362,2019,
16,Norwich,14483,2015,
13,Norwich,14777,2013,1331.0
16,Norwich,13446,2012,-1719.0
10,Norwich,15165,2011,
17,Nottm Forest,14170,2023,2079.0
20,Nottm Forest,12091,2022,
13,Portsmouth,13535,2009,-981.0
11,Portsmouth,14516,2008,1722.0
10,Portsmouth,12794,2007,178.0
13,Portsmouth,12616,2006,
16,QPR,13659,2014,
15,QPR,13649,2012,241.0
17,QPR,13408,2011,
20,Reading,11827,2012,
20,Reading,10442,2007,-790.0
18,Reading,11232,2006,
20,Sheff Utd,12218,2023,
16,Sheff Utd,14647,2020,-275.0
14,Sheff Utd,14922,2019,
19,Sheff Utd,11123,2006,
15,Southampton,14796,2022,-492.0
13,Southampton,15288,2021,-2402.0
11,Southampton,17690,2020,2023.0
12,Southampton,15667,2019,1370.0
16,Southampton,14297,2018,-2877.0
7,Southampton,17174,2017,-1066.0
7,Southampton,18240,2016,2327.0
11,Southampton,15913,2015,-2271.0
8,Southampton,18184,2014,-1408.0
5,Southampton,19592,2013,2762.0
9,Southampton,16830,2012,
20,Stoke City,12892,2017,-1666.0
14,Stoke City,14558,2016,-1784.0
10,Stoke City,16342,2015,956.0
11,Stoke City,15386,2014,50.0
11,Stoke City,15336,2013,2992.0
19,Stoke City,12344,2012,1508.0
20,Stoke City,10836,2011,487.0
20,Stoke City,10349,2010,28.0
20,Stoke City,10321,2009,767.0
20,Stoke City,9554,2008,
19,Sunderland,12360,2016,-439.0
19,Sunderland,12799,2015,-1652.0
14,Sunderland,14451,2014,-31.0
16,Sunderland,14482,2013,1350.0
17,Sunderland,13132,2012,-781.0
15,Sunderland,13913,2011,-253.0
15,Sunderland,14166,2010,1667.0
16,Sunderland,12499,2009,-1664.0
13,Sunderland,14163,2008,1427.0
11,Sunderland,12736,2007,
9,Swansea,15721,2017,-404.0
10,Swansea,16125,2016,-2044.0
7,Swansea,18169,2015,292.0
9,Swansea,17877,2014,-3245.0
2,Swansea,21122,2013,1157.0
3,Swansea,19965,2012,-830.0
2,Swansea,20795,2011,
4,Tottenham,22488,2023,4446.0
7,Tottenham,18042,2022,-1123.0
4,Tottenham,19165,2021,95.0
7,Tottenham,19070,2020,426.0
7,Tottenham,18644,2019,-2651.0
4,Tottenham,21295,2018,-365.0
4,Tottenham,21660,2017,1507.0
5,Tottenham,20153,2016,1504.0
6,Tottenham,18649,2015,-673.0
6,Tottenham,19322,2014,1365.0
9,Tottenham,17957,2013,1296.0
10,Tottenham,16661,2012,-2903.0
5,Tottenham,19564,2011,2773.0
5,Tottenham,16791,2010,1306.0
7,Tottenham,15485,2009,-238.0
7,Tottenham,15723,2008,257.0
5,Tottenham,15466,2007,552.0
5,Tottenham,14914,2006,
17,Watford,13046,2021,
17,Watford,14067,2019,-1395.0
14,Watford,15462,2018,-192.0
10,Watford,15654,2017,1605.0
15,Watford,14049,2016,-482.0
15,Watford,14531,2015,
20,Watford,10175,2006,
20,West Brom,12389,2020,
19,West Brom,13218,2017,1397.0
20,West Brom,11821,2016,-441.0
20,West Brom,12262,2015,-2183.0
15,West Brom,14445,2014,-272.0
14,West Brom,14717,2013,325.0
13,West Brom,14392,2012,-299.0
13,West Brom,14691,2011,439.0
13,West Brom,14252,2010,
10,West Brom,14537,2008,
15,West Ham,14732,2023,94.0
16,West Ham,14638,2022,-1941.0
11,West Ham,16579,2021,1427.0
15,West Ham,15152,2020,51.0
13,West Ham,15101,2019,-1257.0
11,West Ham,16358,2018,1989.0
16,West Ham,14369,2017,-765.0
13,West Ham,15134,2016,103.0
14,West Ham,15031,2015,1463.0
18,West Ham,13568,2014,1188.0
19,West Ham,12380,2013,-231.0
18,West Ham,12611,2012,
17,West Ham,13367,2010,-1263.0
10,West Ham,14630,2009,-726.0
8,West Ham,15356,2008,1583.0
8,West Ham,13773,2007,584.0
9,West Ham,13189,2006,
7,Wigan,17941,2012,2210.0
9,Wigan,15731,2011,551.0
8,Wigan,15180,2010,422.0
9,Wigan,14758,2009,2412.0
17,Wigan,12346,2008,662.0
17,Wigan,11684,2007,331.0
17,Wigan,11353,2006,
11,Wolves,17636,2023,924.0
9,Wolves,16712,2022,-805.0
9,Wolves,17517,2021,-5.0
12,Wolves,17522,2020,758.0
10,Wolves,16764,2019,146.0
9,Wolves,16618,2018,
12,Wolves,14860,2011,37.0
10,Wolves,14823,2010,1786.0
15,Wolves,13037,2009,
