Date,SP500,DJIA,NASDAQ,NIKKEI,HSI,SH,TWII,yield_spread
2020-08-19,0.4027414463331006,0.46453099845963197,0.48031736640203293,0.3097736454241752,0.5681395420657259,0.3887603367792729,0.31616006991809265,0.5175718849840257
2020-08-20,0.4055188477692204,0.46633967625246586,0.48852657548710354,0.30146821173709926,0.5471552240914904,0.3733839333448705,0.2916602107688172,0.5111821086261983
2020-08-21,0.408554187987869,0.47369792571488145,0.49177243121868885,0.30290114190233763,0.5646159619153824,0.3792188967668608,0.3061010046354784,0.4984025559105433
2020-08-24,0.41744395693725056,0.48829590509170795,0.4964780560060801,0.3052560152913294,0.5883197485054715,0.3809414280790342,0.3084149479599996,0.5079872204472845
2020-08-25,0.4206590726709952,0.4859787900196504,0.5024882584546401,0.3164962835179448,0.5847805155197862,0.3767487894114443,0.31495924416130894,0.5175718849840256
2020-08-26,0.42980678040290565,0.4892015951881836,0.5162469455354415,0.3162828607035153,0.5850820441249197,0.3615083551892666,0.3193786441314709,0.514376996805112
2020-08-27,0.43132314779110614,0.4953920217427392,0.513495069555536,0.3133216642934965,0.573675886468716,0.3685902971793009,0.3172596142841154,0.5303514376996806
2020-08-28,0.43743551530436786,0.5016307054422477,0.5183648923810031,0.30154151940432294,0.5813062206482896,0.38725780059699133,0.3132277407256211,0.5367412140575081
2020-08-31,0.4354293247735871,0.49298997409556455,0.5238956642711304,0.3108263146357855,0.568038856260013,0.3844318137741225,0.3051357544474378,0.5303514376996806
2020-09-01,0.4422920596542058,0.5013137525141973,0.5352724405717417,0.3107652851000181,0.5684611655270416,0.3896218146220205,0.3117218630116565,0.5207667731629395
2020-09-02,0.45641095119485586,0.5188731763624923,0.5433624848359302,0.31470439856836996,0.5649544015984506,0.38760374972871925,0.31149922799539564,0.5111821086261983
2020-09-03,0.4236396986024408,0.48768863717962074,0.501908369180929,0.3225905701783688,0.5588630161152285,0.3807130303573758,0.3149427377676983,0.5047923322683707
2020-09-04,0.41631840588621516,0.48153411394091017,0.4918645761092547,0.31319779961439453,0.5419599634315923,0.3704178184512257,0.3078743204340756,0.5303514376996806
2020-09-07,0.4039269225558347,0.46932660049646957,0.47574129871641474,0.3090275683774558,0.536230919934055,0.34859399601717156,0.3057217601773994,0.52555910543131
2020-09-08,0.3915354392254542,0.45711908705202897,0.45961802132357477,0.31567870441156887,0.5381093659374844,0.3568769993818579,0.30938255620427024,0.5207667731629394
2020-09-09,0.40902316759246715,0.4740893876747392,0.47997788522626417,0.3069543697689293,0.5296938516931925,0.33539624034094495,0.3061445999189518,0.5271565495207668
2020-09-10,0.39345043927756307,0.4584197136227992,0.4645993879639374,0.314282608640699,0.5212793950729105,0.32851112269744576,0.3110428003309561,0.5175718849840257
2020-09-11,0.3939142079976655,0.46347937875681877,0.4600240130970451,0.3204585087631553,0.5315555872372703,0.3373840898537517,0.31011228833713433,0.5175718849840257
2020-09-14,0.40500557564641027,0.47613008582050664,0.4740951614232991,0.3259768066096793,0.5389724928917091,0.34380443383548864,0.3167007549575831,0.5175718849840257
2020-09-15,0.40960678665596695,0.476217720795741,0.4833560693345268,0.3222063368880932,0.5439803425771083,0.3496678302700227,0.3201065933437709,0.5175718849840257
2020-09-16,0.40551363688472475,0.4776376390288346,0.47366699945059465,0.3229516916917857,0.5435943098136086,0.3455809454341632,0.32782813473956307,0.5207667731629394
2020-09-17,0.39809333736308405,0.47260345366735,0.4639543737299767,0.31731241813826694,0.5227582707255173,0.3408915353563662,0.3217020196809124,0.5239616613418532
2020-09-18,0.3883125071649661,0.4631620397716085,0.45584839463508897,0.31879048849268243,0.5289617643537557,0.3644115779566577,0.3218716271887794,0.5239616613418532
2020-09-21,0.3783050034912926,0.4434839342313024,0.4548451931197558,0.3186242522226729,0.5016309619851856,0.3570571034195238,0.3171306688678258,0.5175718849840257
2020-09-22,0.38729638468833705,0.44890726520968705,0.46765125445222633,0.3184580159526633,0.4889684527679924,0.34223586516437376,0.3083195329530306,0.5207667731629395
2020-09-23,0.36680458140964856,0.42863733404367865,0.44474320327509265,0.31829177968265376,0.49035795919178915,0.34411626335216394,0.3046899092792503,0.5175718849840257
2020-09-24,0.3693240440632394,0.43065679904566667,0.44746459523105164,0.308950649495098,0.46699536210719306,0.3244620919618686,0.2858733107259006,0.514376996805112
2020-09-25,0.3828384730024075,0.4444977203324725,0.4641816182721239,0.31316854877180766,0.4628988670308559,0.32315561625414335,0.28401993604261344,0.5175718849840257
2020-09-28,0.39668379310704205,0.46032992444861387,0.4783123490088189,0.3242549792337074,0.47592911211618294,0.32250097796831945,0.29755667415608333,0.514376996805112
2020-09-29,0.3924812147613935,0.455257133371167,0.4760766229798272,0.32524734115257714,0.46507080369694587,0.3248733097104508,0.2978494182100144,0.5207667731629395
2020-09-30,0.3996539972694966,0.467959958151404,0.48177574982038673,0.31246436182064474,0.4750085561782377,0.32268074250732837,0.3006692508662405,0.5239616613418532
2020-10-01,0.4042916844705221,0.4693188793532772,0.4927915675647214,0.31246436182064474,0.4805811418306231,0.3253637761455949,0.3013106038184483,0.5175718849840257
2020-10-02,0.39586047335674757,0.4641422388998917,0.4753678694230691,0.3068590336893873,0.4861537274830086,0.3280468097838615,0.3019519567706561,0.5271565495207668
2020-10-05,0.41154263024605797,0.4821259395666122,0.49320587316290454,0.3170513272840665,0.49172631313539406,0.3307298434221281,0.3025933097228639,0.5495207667731631
2020-10-06,0.39911988160870426,0.4676148230507009,0.48088132084504487,0.321442203765703,0.5032533572158936,0.3334128770603947,0.3117778237119463,0.5431309904153356
2020-10-07,0.414361718758142,0.48810287651189643,0.49543051409227934,0.32104822019456514,0.5174520653070135,0.33609591069866124,0.31425959162377015,0.5527156549520769
2020-10-08,0.42149541963252846,0.49281470414509565,0.4993366260697987,0.3291463701329397,0.5147710942051088,0.33877894433692785,0.32255304792570993,0.5527156549520769
2020-10-09,0.42938990964326296,0.49904528064425224,0.5103496725392291,0.3281576194292041,0.5107521229686743,0.3414619779751944,0.32457663400931325,0.5463258785942493
2020-10-12,0.44426437943576536,0.5087206451787252,0.530879277029803,0.32595477819736085,0.5394815273275236,0.37149487794132097,0.32660022009291656,0.5383386581469649
2020-10-13,0.4384568486654925,0.5026321377143101,0.5300229530843943,0.32751085079867437,0.539952910348597,0.371941573299585,0.326083115615727,0.5303514376996806
2020-10-14,0.4323965899971862,0.4962309239506002,0.5234293972684929,0.3284118489746497,0.5404242933696705,0.3653460480107118,0.32444466913077785,0.5335463258785944
2020-10-15,0.43100788927912626,0.4954665307745465,0.5196285937373345,0.3240964468893174,0.5128860909328202,0.36235803545367506,0.3190565106450135,0.5367412140575081
2020-10-16,0.4311303450647713,0.49979461759108057,0.5166972777073796,0.3206080130697099,0.5252459081584694,0.3638093922133776,0.31449516719251314,0.5431309904153356
2020-10-19,0.41630798411722414,0.48393191495932886,0.503348046493679,0.33001522849422094,0.5336647010371908,0.3555743430340266,0.3237986192372988,0.5431309904153356
2020-10-20,0.42052880055860686,0.48830864497797544,0.5059537377223862,0.3262563146610641,0.5351418844913823,0.360938591567753,0.32109128311731816,0.5591054313099043
2020-10-21,0.41855908621929483,0.48452644298514835,0.5037505741735192,0.32887155666122936,0.5451532476037412,0.35986781280281677,0.3219676173314142,0.5654952076677318
2020-10-22,0.42323064416954126,0.4904269406128272,0.5052276636974765,0.32290619038109525,0.5468704059457085,0.3555152702676667,0.32431043246636226,0.5718849840255592
2020-10-23,0.42633112044438426,0.489342506051446,0.5081562084525271,0.32443445662587567,0.5540533651692262,0.3435204432087071,0.3232379769902023,0.5591054313099043
2020-10-26,0.40954686148426833,0.4642414555899148,0.49503837869333,0.323630961258523,0.5504905471681271,0.33417633679081593,0.3238392813288763,0.5527156549520769
2020-10-27,0.406865861411316,0.4556636515602499,0.5000550790887217,0.3233225634860649,0.5469277291670279,0.3352877705199566,0.3218356812096621,0.5463258785942493
2020-10-28,0.37569174491678226,0.4192491960359652,0.47050774605976675,0.32089257682228234,0.5426829552045466,0.34047607387456824,0.3170499773339034,0.5463258785942493
2020-10-29,0.3858738132210562,0.4246215674692795,0.483028366077101,0.31776634788063207,0.5360657190637573,0.341689357200881,0.3093443096824894,0.5654952076677318
2020-10-30,0.3754129625962711,0.4185407811480568,0.46404513298309036,0.3049533954630861,0.5101179716125256,0.32493382534610404,0.30247903026605427,0.5814696485623004
2020-11-02,0.3859076839702771,0.4348883715722951,0.46723348476041293,0.3164496988427139,0.5292108348080137,0.3251379489137698,0.3051274724938492,0.5718849840255592
2020-11-03,0.4012589496941211,0.4563137718170551,0.48129493362450193,0.32366761509213476,0.5551878784443113,0.3411136523528657,0.3136494301958417,0.5782747603833867
2020-11-04,0.42061217471053536,0.4705063911762777,0.5111006880382769,0.3308855313415556,0.5522859696868038,0.3433267592247513,0.321416982444904,0.5495207667731631
2020-11-05,0.438071243212823,0.49145076420014755,0.5318956421009312,0.34569331899921674,0.5961358014611288,0.35816887664732167,0.3244146470490191,0.5527156549520769
2020-11-06,0.4378080935457985,0.48887267448818483,0.5321935541531365,0.35363618668682206,0.5970591072214991,0.3553967003616254,0.3276379373748577,0.5591054313099043
2020-11-09,0.44850603941513034,0.5210918468588459,0.5196223583687999,0.3722198608887707,0.6134774508215411,0.3768016663273095,0.33670403093033596,0.5974440894568691
2020-11-10,0.4472111346179901,0.5312432198711341,0.5085428013016678,0.37459423483948695,0.6289271165912017,0.37208025850106763,0.33400963536283756,0.5974440894568691
2020-11-11,0.4542796994361823,0.5303440927463721,0.5246556864136169,0.390628391156712,0.6248929155690292,0.3658413765516255,0.34463825749536925,0.5846645367412142
2020-11-12,0.4449912978228926,0.5180883221569785,0.5193320673225813,0.39681368043851717,0.6217738766023532,0.3646166351456308,0.3422583461099721,0.5718849840255592
2020-11-13,0.45753389680364354,0.5335167104841543,0.527625107473505,0.3919381788858751,0.6210958338498064,0.3546826498107847,0.3452943147494346,0.575079872204473
2020-11-16,0.46841422363031904,0.5516857185874942,0.5341958002714463,0.4107547764639776,0.633269403487367,0.3674982997482872,0.3616962637231683,0.575079872204473
2020-11-17,0.46388596500369983,0.5452350895073526,0.5324783026495467,0.41464369404196455,0.6350791039301732,0.36504075384318835,0.3641214957990365,0.5654952076677318
2020-11-18,0.45301084906151967,0.5319188199004745,0.5257066924210482,0.4042982849255964,0.6420752867535978,0.36761440828906333,0.3747389027860837,0.575079872204473
2020-11-19,0.4566793117463759,0.5336487420327454,0.5328503463054401,0.40091096512974567,0.6319319321648421,0.37310197971003256,0.37174353872463206,0.562300319488818
2020-11-20,0.45034027075755845,0.5251651359500289,0.5294042659620238,0.3970480483007247,0.6370528418568663,0.378192252827366,0.37139080802075,0.5591054313099043
2020-11-23,0.4555641824643316,0.537819703585313,0.5312194510242979,0.4085717969153723,0.6389297014242811,0.39097174615787256,0.3809062550719776,0.5686900958466454
2020-11-24,0.4706288495409211,0.5553841461766831,0.5420385082504318,0.42009554553001993,0.6444530370519533,0.38691575569982173,0.3767318628954791,0.575079872204473
2020-11-25,0.4691281148062073,0.5486756309139131,0.5459924247200493,0.424835987636644,0.6488690403415872,0.372837425381378,0.3727094215619051,0.5718849840255592
2020-11-26,0.47026148218398595,0.5494072092313989,0.5498531570710119,0.43351915442675404,0.6569753053254753,0.37541209832322453,0.379001060665195,0.5670926517571886
2020-11-27,0.4713948495617646,0.5501387875488846,0.5537138894219744,0.4373975994808518,0.6610490614856063,0.3888222104095551,0.3802631383703945,0.562300319488818
2020-11-30,0.46703855012349804,0.5396484563504473,0.5532212953077466,0.4297746854541338,0.6310936593748427,0.3830697451612741,0.37177062761449486,0.562300319488818
2020-12-01,0.4776739653788834,0.5468013234039433,0.5640549017271278,0.4425554980569858,0.6433418972674804,0.4039910952897192,0.3813573914882912,0.5846645367412142
2020-12-02,0.4793831354934187,0.5491126476186066,0.5636572237783701,0.44304084537101807,0.6414412411598497,0.40310152393308507,0.38745112640895296,0.5974440894568691
2020-12-03,0.47878648921867994,0.552422315648055,0.5655839526555395,0.44334382632077485,0.6520503733624278,0.40058278339501885,0.38674146651082786,0.5878594249201279
2020-12-04,0.4872281221014455,0.5620251014365187,0.5716149396658812,0.44124462696328237,0.6578671996527609,0.4014328031580845,0.3958906671700254,0.6038338658146967
2020-12-07,0.4853626254520442,0.5562933107875954,0.5754753256074808,0.4338849705198453,0.6400479272896186,0.3917066758761336,0.40320288451241315,0.6006389776357829
2020-12-08,0.4880436255249967,0.5603117797621118,0.5798276128445821,0.430982998038027,0.6290939038975137,0.3894733688341421,0.40931611653214817,0.5942492012779554
2020-12-09,0.480375808989818,0.5562554771859523,0.5629353066658168,0.4436533074577732,0.6398307970804501,0.37618776788035446,0.41106757717544196,0.5974440894568691
2020-12-10,0.47914604024887186,0.5535704496407738,0.5675674926682458,0.44142518771999084,0.634835427358364,0.3766437994516927,0.40278418574765507,0.5942492012779554
2020-12-11,0.47793711504590797,0.555389164919758,0.5656317571476377,0.4376796353828304,0.6399948345643373,0.367575450818145,0.40350270273503464,0.5974440894568691
2020-12-14,0.47377622377622375,0.5482540564956047,0.5699390111675451,0.4405657185180585,0.6336944625768205,0.3751990629158062,0.40052027922606526,0.5910543130990417
2020-12-15,0.48605567308995035,0.561293523119033,0.5806790870589082,0.43895511656821906,0.6238266190425626,0.37454196326471756,0.3921261166690304,0.6038338658146967
2020-12-16,0.4877622377622378,0.5595651452154007,0.5850528516765174,0.44146707781554717,0.6375266574131616,0.3744560701044357,0.4060215668973075,0.5974440894568691
2020-12-17,0.4933144351922296,0.5653108339220705,0.5924355280213998,0.4432463235121523,0.6493364043914241,0.3876284482560335,0.40334011188229135,0.6038338658146967
