Club Name,Expenditure,Arrivals,Income,Departures,Balance,Year
Manchester City,€18.98m,33,€36.70m,34,€17.73m,2005
Manchester City,€13.98m,30,€40.44m,31,€26.47m,2004
Manchester City,€15.76m,38,€14.56m,42,€-1.20m,2003
Manchester City,€58.71m,36,€6.92m,38,€-51.79m,2002
Manchester City,€64.96m,32,€7.35m,30,€-57.61m,2001
Manchester City,€40.79m,43,€8.51m,43,€-32.27m,2000
Manchester City,€29.75m,55,€2.50m,51,€-27.25m,1999
Manchester City,€10.56m,45,€12.39m,54,€1.83m,1998
Manchester City,€9.99m,53,€13.25m,59,€3.26m,1997
Manchester City,€13.68m,56,€5.73m,44,€-7.95m,1996
Manchester City,€16.53m,38,€10.76m,38,€-5.77m,1995
Manchester City,€14.26m,30,€9.79m,33,€-4.48m,1994
Manchester City,€10.09m,26,€2.86m,20,€-7.24m,1993
Manchester City U18,€292k,1,-,0,€-292k,2024
Manchester City U18,€7.55m,29,-,41,€-7.55m,2012
Manchester City U21,€17.50m,68,€64.69m,66,€47.19m,2021
Manchester City U23,€36.00m,75,€21.65m,66,€-14.35m,2020
Manchester City U23,€27.45m,68,€27.78m,65,€330k,2019
Manchester United,€202.30m,21,€64.34m,28,€-137.96m,2023
Manchester United,€445.58m,39,€81.99m,43,€-363.59m,2022
Manchester United,€385.28m,40,€54.75m,33,€-330.53m,2021
Manchester United,€225.80m,33,€50.60m,31,€-175.20m,2020
Manchester United,€320.60m,30,€100.68m,29,€-219.92m,2019
Manchester United,€319.50m,23,€111.73m,22,€-207.77m,2018
Manchester United,€281.10m,22,€76.05m,20,€-205.05m,2017
Manchester United,€383.40m,20,€92.75m,23,€-290.65m,2016
Manchester United,€341.00m,29,€147.92m,33,€-193.08m,2015
Manchester United,€351.35m,46,€147.37m,46,€-203.98m,2014
Manchester United,€272.48m,43,€48.50m,46,€-223.98m,2013
Manchester United,€153.58m,36,€11.45m,35,€-142.13m,2012
Manchester United,€138.75m,33,€22.55m,33,€-116.21m,2011
Manchester United,€91.60m,31,€29.86m,36,€-61.74m,2010
Manchester United,€56.60m,33,€121.43m,35,€64.83m,2009
Manchester United,€72.55m,33,€111.92m,34,€39.37m,2008
Manchester United,€151.75m,41,€54.05m,39,€-97.70m,2007
Manchester United,€133.70m,48,€64.60m,48,€-69.10m,2006
Manchester United,€59.00m,47,€25.90m,53,€-33.10m,2005
Manchester United,€93.05m,44,€17.47m,46,€-75.59m,2004
Manchester United,€117.78m,43,€68.87m,47,€-48.91m,2003
Manchester United,€105.06m,38,€62.80m,43,€-42.26m,2002
Manchester United,€134.38m,36,€47.10m,31,€-87.28m,2001
Manchester United,€97.55m,30,€53.48m,29,€-44.08m,2000
Manchester United,€19.65m,30,€10.23m,23,€-9.43m,1999
Manchester United,€52.70m,32,€4.10m,29,€-48.60m,1998
Manchester United,€58.30m,32,€8.17m,36,€-50.13m,1997
Manchester United,€24.78m,36,€12.41m,31,€-12.37m,1996
Manchester United,€11.80m,25,€27.98m,26,€16.18m,1995
Manchester United,€12.40m,24,€25.51m,26,€13.12m,1994
Manchester United,€20.32m,25,€6.49m,24,€-13.84m,1993
Manchester United U18,€2.50m,6,-,12,€-2.50m,2002
Mansfield Town,-,3,-,4,+-0,2024
Middlesbrough FC,€25.00m,41,€53.07m,44,€28.07m,2022
Middlesbrough FC,€22.78m,48,€29.17m,49,€6.38m,2021
Middlesbrough FC,€77.15m,49,€102.39m,55,€25.24m,2017
Middlesbrough FC,€103.60m,44,€67.80m,48,€-35.80m,2016
Middlesbrough FC,€81.35m,46,€20.60m,49,€-60.75m,2015
Middlesbrough FC,€44.51m,65,€13.25m,70,€-31.27m,2014
Middlesbrough FC,€13.50m,68,€6.15m,71,€-7.36m,2013
Middlesbrough FC,€8.81m,55,€13.25m,45,€4.44m,2010
Middlesbrough FC,€14.50m,45,€55.45m,45,€40.96m,2009
Middlesbrough FC,€20.09m,39,€55.72m,43,€35.64m,2008
Middlesbrough FC,€63.40m,39,€38.95m,41,€-24.46m,2007
Middlesbrough FC,€61.90m,42,€34.90m,46,€-27.00m,2006
Middlesbrough FC,€25.26m,39,€4.68m,35,€-20.59m,2005
Middlesbrough FC,€20.71m,38,€3.45m,34,€-17.26m,2004
Middlesbrough FC,€16.95m,49,€4.58m,52,€-12.38m,2003
Middlesbrough FC,€44.28m,51,€1.13m,56,€-43.15m,2002
Middlesbrough FC,€56.78m,47,€5.27m,57,€-51.51m,2001
Middlesbrough FC,€56.17m,47,€15.27m,47,€-40.90m,2000
Middlesbrough FC,€43.79m,34,€10.05m,27,€-33.74m,1999
Middlesbrough FC,€22.40m,25,€13.90m,25,€-8.50m,1998
Middlesbrough FC,€30.77m,29,€37.84m,28,€7.08m,1997
Middlesbrough FC,€34.97m,33,€34.09m,30,€-876k,1996
Middlesbrough FC,€29.28m,29,€10.47m,29,€-18.80m,1995
Middlesbrough FC,€18.32m,28,€1.02m,19,€-17.29m,1994
Middlesbrough FC,€6.15m,21,€3.93m,15,€-2.21m,1993
Morpeth Town AFC,-,1,-,1,+-0,2024
Newcastle United,€32.50m,4,-,6,€-32.50m,2024
Newcastle United,€185.70m,19,€44.60m,21,€-141.10m,2023
Newcastle United,€338.55m,32,€58.66m,28,€-279.89m,2022
Newcastle United,€315.85m,29,€14.06m,23,€-301.79m,2021
Newcastle United,€169.25m,22,€275k,25,€-168.98m,2020
Newcastle United,€111.15m,23,€35.92m,26,€-75.24m,2019
Newcastle United,€132.15m,35,€86.69m,34,€-45.46m,2018
Newcastle United,€106.25m,49,€72.27m,52,€-33.98m,2017
Newcastle United,€110.75m,51,€122.10m,55,€11.35m,2016
Newcastle United,€172.16m,50,€106.31m,49,€-65.85m,2015
Newcastle United,€152.93m,49,€29.30m,48,€-123.63m,2014
Newcastle United,€48.82m,37,€49.74m,42,€920k,2013
Newcastle United,€35.77m,35,€40.67m,36,€4.91m,2012
Newcastle United,€58.97m,48,€30.84m,45,€-28.13m,2011
Newcastle United,€40.98m,45,€57.79m,42,€16.81m,2010
Newcastle United,€20.25m,34,€68.80m,36,€48.56m,2009
Newcastle United,€41.74m,38,€68.45m,35,€26.71m,2008
Newcastle United,€73.33m,41,€73.10m,32,€-225k,2007
Newcastle United,€69.73m,30,€42.88m,30,€-26.85m,2006
Newcastle United,€93.63m,27,€42.08m,29,€-51.55m,2005
Newcastle United,€91.20m,33,€53.18m,34,€-38.03m,2004
Newcastle United,€29.45m,31,€27.28m,39,€-2.18m,2003
Newcastle United,€34.55m,28,€5.23m,35,€-29.33m,2002
Newcastle United,€66.14m,32,€1.11m,35,€-65.02m,2001
Newcastle United,€57.50m,39,€27.27m,43,€-30.22m,2000
Newcastle United,€53.16m,44,€47.84m,41,€-5.33m,1999
Newcastle United,€68.88m,47,€51.75m,44,€-17.13m,1998
Newcastle United,€75.22m,54,€48.42m,39,€-26.80m,1997
Newcastle United,€51.59m,40,€26.58m,25,€-25.01m,1996
Newcastle United,€50.20m,19,€17.79m,23,€-32.41m,1995
Newcastle United,€43.08m,20,€20.35m,22,€-22.73m,1994
Newcastle United,€16.73m,24,€16.03m,25,€-706k,1993
Norwich City,€78.55m,47,€42.47m,54,€-36.08m,2021
Norwich City,€76.84m,61,€82.40m,56,€5.57m,2020
Norwich City,€76.95m,51,€58.19m,48,€-18.76m,2015
Norwich City,€70.84m,59,€40.87m,57,€-29.97m,2014
Norwich City,€50.39m,47,€24.22m,48,€-26.18m,2013
Norwich City,€41.13m,49,€5.22m,45,€-35.92m,2012
Norwich City,€26.33m,47,€880k,42,€-25.45m,2011
Norwich City,€20.23m,46,€715k,42,€-19.52m,2010
Norwich City,€14.35m,38,€13.94m,36,€-410k,2004
Norwich City,€10.28m,31,€635k,28,€-9.64m,2003
Norwich City,€4.08m,21,€13.62m,20,€9.54m,1993
Nottingham Forest,€131.05m,44,€87.32m,51,€-43.73m,2023
Nottingham Forest,€325.60m,77,€87.82m,67,€-237.78m,2022
Nottingham Forest,€201.54m,64,€5.88m,52,€-195.67m,2021
Nottingham Forest,€22.13m,45,€16.63m,49,€-5.51m,2020
Nottingham Forest,€35.43m,59,€27.26m,68,€-8.18m,2018
Nottingham Forest,€34.69m,71,€26.61m,67,€-8.08m,2017
Nottingham Forest,€18.85m,63,€14.10m,61,€-4.75m,2013
Nottingham Forest,€14.79m,67,€6.50m,56,€-8.29m,2012
Nottingham Forest,€16.34m,35,€7.98m,42,€-8.36m,1999
Nottingham Forest,€19.79m,52,€24.78m,52,€4.99m,1998
Nottingham Forest,€16.28m,51,€22.94m,50,€6.67m,1997
Nottingham Forest,€17.16m,42,€5.20m,42,€-11.97m,1996
Nottingham Forest,€13.53m,37,€15.41m,31,€1.88m,1995
Nottingham Forest,€10.54m,22,€14.95m,20,€4.40m,1994
Nottingham Forest,€14.66m,20,€12.60m,20,€-2.06m,1993
Portsmouth FC,€10.56m,57,€68.23m,70,€57.67m,2009
Portsmouth FC,€38.76m,61,€106.20m,59,€67.44m,2008
Portsmouth FC,€86.84m,56,€77.53m,49,€-9.32m,2007
Portsmouth FC,€67.74m,55,€24.63m,56,€-43.12m,2006
Portsmouth FC,€27.88m,67,€13.40m,66,€-14.48m,2005
Portsmouth FC,€29.63m,66,€18.75m,71,€-10.88m,2004
Portsmouth FC,€22.63m,64,€6.80m,73,€-15.83m,2003
Portsmouth FC,€13.43m,70,€800k,68,€-12.63m,2002
Portsmouth FC,€8.43m,55,€9.60m,46,€1.17m,2001
Portsmouth FC,€12.45m,40,€10.00m,32,€-2.45m,2000
Portsmouth FC,€12.76m,44,€1.41m,33,€-11.35m,1999
Prescot Cables FC,-,1,-,0,+-0,2024
Queens Park Rangers,€60.95m,76,€37.84m,75,€-23.11m,2014
Queens Park Rangers,€55.36m,79,€41.09m,75,€-14.27m,2013
Queens Park Rangers,€62.18m,82,€19.56m,86,€-42.62m,2012
Queens Park Rangers,€76.58m,84,€7.31m,87,€-69.27m,2011
Queens Park Rangers,€32.21m,89,€2.80m,73,€-29.41m,2010
Queens Park Rangers,€9.99m,76,€5.03m,69,€-4.96m,2009
Queens Park Rangers,€11.33m,58,€6.23m,65,€-5.10m,2006
Queens Park Rangers,€7.46m,26,€12.99m,28,€5.53m,1995
Queens Park Rangers,€5.69m,20,€17.78m,23,€12.08m,1994
Reading FC,€12.82m,48,€6.03m,51,€-6.79m,2012
Reading FC,€12.81m,66,€12.20m,61,€-605k,2011
Reading FC,€14.86m,78,€22.60m,78,€7.74m,2007
Reading FC,€20.93m,67,€5.70m,52,€-15.23m,2006
Reading FC,€11.49m,55,€625k,40,€-10.87m,2005
Sheffield United,€66.95m,20,€30.90m,23,€-36.05m,2023
Sheffield United,€71.45m,34,€30.90m,30,€-40.55m,2022
Sheffield United,€63.00m,32,€28.00m,38,€-35.00m,2020
Sheffield United,€135.20m,39,€350k,40,€-134.85m,2019
Sheffield United,€79.20m,50,€12.75m,52,€-66.45m,2018
Sheffield United,€14.04m,69,€28.60m,79,€14.56m,2008
Sheffield United,€16.66m,79,€29.53m,90,€12.87m,2007
Sheffield United,€27.93m,83,€19.88m,86,€-8.05m,2006
Sheffield United,€24.85m,90,€5.30m,80,€-19.55m,2005
Sheffield United,€7.39m,79,€2.06m,68,€-5.34m,2004
Sheffield United,€12.89m,47,€5.93m,37,€-6.97m,1996
Sheffield United,€7.72m,38,€2.25m,39,€-5.47m,1995
Sheffield Wednesday,€12.61m,34,€7.16m,36,€-5.45m,1998
Sheffield Wednesday,€15.60m,39,€8.03m,34,€-7.57m,1997
Sheffield Wednesday,€25.14m,38,€13.21m,28,€-11.93m,1996
Sheffield Wednesday,€26.91m,30,€14.61m,26,€-12.29m,1995
Sheffield Wednesday,€17.21m,22,€14.63m,25,€-2.57m,1994
Sheffield Wednesday,€11.86m,17,€13.57m,17,€1.71m,1993
Southampton FC,€23.00m,8,-,0,€-23.00m,2024
Southampton FC,€44.55m,20,€187.24m,25,€142.69m,2023
Southampton FC,€173.66m,33,€192.74m,39,€19.08m,2022
Southampton FC,€215.51m,31,€65.85m,28,€-149.66m,2021
Southampton FC,€100.70m,33,€86.65m,32,€-14.05m,2020
Southampton FC,€98.80m,37,€53.60m,35,€-45.20m,2019
Southampton FC,€123.75m,30,€53.40m,35,€-70.35m,2018
Southampton FC,€123.50m,28,€124.45m,32,€950k,2017
Southampton FC,€130.15m,24,€183.40m,23,€53.25m,2016
Southampton FC,€129.00m,28,€137.75m,26,€8.75m,2015
Southampton FC,€156.10m,41,€176.53m,38,€20.43m,2014
Southampton FC,€135.60m,40,€128.03m,44,€-7.57m,2013
Southampton FC,€81.10m,44,€4.20m,48,€-76.90m,2012
Southampton FC,€47.11m,52,€14.34m,47,€-32.77m,2011
Southampton FC,€8.43m,48,€14.34m,51,€5.92m,2010
Southampton FC,€10.80m,65,€34.28m,68,€23.48m,2005
Southampton FC,€16.53m,70,€41.43m,69,€24.90m,2004
Southampton FC,€21.65m,54,€22.38m,51,€725k,2003
Southampton FC,€20.98m,36,€10.88m,38,€-10.10m,2002
Southampton FC,€31.35m,32,€14.45m,33,€-16.90m,2001
Southampton FC,€19.35m,30,€14.60m,32,€-4.76m,2000
Southampton FC,€10.73m,39,€13.61m,34,€2.88m,1998
Southampton FC,€16.18m,39,€18.03m,34,€1.86m,1997
Southampton FC,€12.12m,37,€10.26m,38,€-1.86m,1996
Southampton FC,€5.48m,25,€5.25m,24,€-230k,1995
Southampton FC,€5.53m,15,€3.12m,22,€-2.40m,1994
Southampton FC,€6.21m,22,€6.87m,27,€665k,1993
Southampton FC U21,€375k,1,-,1,€-375k,2024
Stoke City,€1.00m,2,-,6,€-1.00m,2024
Stoke City,€23.69m,29,€5.45m,28,€-18.24m,2023
Stoke City,€69.60m,43,€31.43m,47,€-38.17m,2018
Stoke City,€120.60m,40,€65.29m,42,€-55.31m,2017
Stoke City,€99.87m,32,€38.94m,30,€-60.93m,2016
Stoke City,€95.82m,27,€27.00m,27,€-68.82m,2015
Stoke City,€55.45m,31,€27.00m,33,€-28.45m,2014
Stoke City,€30.68m,43,€640k,44,€-30.04m,2012
Stoke City,€48.48m,49,€2.63m,50,€-45.86m,2011
Stoke City,€45.90m,50,€8.76m,49,€-37.14m,2010
Stoke City,€47.15m,47,€13.28m,46,€-33.88m,2009
Stoke City,€60.00m,47,€7.27m,42,€-52.74m,2008
Stoke City,€40.90m,55,€8.15m,51,€-32.75m,2007
Sunderland AFC,€43.31m,47,€56.91m,50,€13.61m,2016
Sunderland AFC,€107.95m,54,€34.77m,48,€-73.18m,2015
Sunderland AFC,€88.57m,50,€18.25m,56,€-70.32m,2014
Sunderland AFC,€56.43m,57,€29.63m,64,€-26.80m,2013
Sunderland AFC,€72.21m,62,€37.21m,63,€-35.01m,2012
Sunderland AFC,€66.22m,61,€41.15m,62,€-25.07m,2011
Sunderland AFC,€57.02m,66,€68.10m,63,€11.08m,2010
Sunderland AFC,€66.10m,55,€63.05m,60,€-3.05m,2009
Sunderland AFC,€70.11m,58,€32.43m,63,€-37.69m,2008
Sunderland AFC,€97.43m,65,€14.35m,55,€-83.08m,2007
Sunderland AFC,€80.42m,62,€13.58m,56,€-66.84m,2006
Sunderland AFC,€22.03m,55,€11.80m,61,€-10.23m,2005
Sunderland AFC,€7.37m,43,€1.43m,48,€-5.95m,2004
Sunderland AFC,€29.96m,53,€23.83m,51,€-6.13m,2002
Sunderland AFC,€59.43m,39,€12.89m,34,€-46.55m,2001
Sunderland AFC,€46.34m,34,€18.41m,40,€-27.93m,2000
Sunderland AFC,€33.56m,48,€17.63m,50,€-15.94m,1999
Sunderland AFC,€19.98m,44,€12.10m,38,€-7.88m,1998
Sunderland AFC,€12.19m,30,€2.06m,28,€-10.13m,1996
Sunderland AFC,€8.85m,33,€297k,28,€-8.55m,1995
Sunderland AFC,€3.53m,22,€2.05m,24,€-1.47m,1993
Swindon Town,€4.80m,18,€5.98m,17,€1.18m,1993
Tottenham Hotspur,€23.80m,7,-,3,€-23.80m,2024
Tottenham Hotspur,€282.10m,32,€120.70m,23,€-161.40m,2023
Tottenham Hotspur,€452.00m,41,€159.45m,35,€-292.55m,2022
Tottenham Hotspur,€275.80m,29,€73.37m,33,€-202.43m,2021
Tottenham Hotspur,€206.40m,29,€47.92m,30,€-158.48m,2020
Tottenham Hotspur,€261.00m,27,€77.80m,25,€-183.20m,2019
Tottenham Hotspur,€150.50m,16,€69.85m,18,€-80.65m,2018
Tottenham Hotspur,€121.00m,19,€109.15m,16,€-11.85m,2017
Tottenham Hotspur,€204.50m,23,€156.10m,20,€-48.40m,2016
Tottenham Hotspur,€154.50m,19,€139.55m,29,€-14.95m,2015
Tottenham Hotspur,€119.48m,31,€131.40m,45,€11.92m,2014
Tottenham Hotspur,€171.03m,50,€182.55m,52,€11.52m,2013
Tottenham Hotspur,€195.80m,59,€211.18m,62,€15.38m,2012
Tottenham Hotspur,€82.25m,65,€116.03m,70,€33.78m,2011
Tottenham Hotspur,€35.60m,75,€46.19m,69,€10.59m,2010
Tottenham Hotspur,€66.90m,71,€34.64m,64,€-32.27m,2009
Tottenham Hotspur,€184.25m,66,€119.75m,66,€-64.50m,2008
Tottenham Hotspur,€238.10m,60,€110.60m,56,€-127.50m,2007
Tottenham Hotspur,€155.15m,45,€61.20m,43,€-93.95m,2006
Tottenham Hotspur,€97.51m,44,€64.10m,47,€-33.41m,2005
Tottenham Hotspur,€83.64m,62,€35.95m,59,€-47.69m,2004
Tottenham Hotspur,€76.88m,54,€12.25m,56,€-64.63m,2003
Tottenham Hotspur,€40.25m,40,€3.10m,44,€-37.15m,2002
Tottenham Hotspur,€38.55m,33,€11.10m,31,€-27.45m,2001
Tottenham Hotspur,€53.79m,18,€12.21m,20,€-41.59m,2000
Tottenham Hotspur,€42.74m,23,€4.26m,28,€-38.49m,1999
Tottenham Hotspur,€26.78m,31,€2.63m,32,€-24.15m,1998
Tottenham Hotspur,€27.48m,31,€6.61m,32,€-20.87m,1997
Tottenham Hotspur,€25.95m,32,€7.46m,33,€-18.49m,1996
Tottenham Hotspur,€21.62m,38,€15.88m,35,€-5.74m,1995
Tottenham Hotspur,€22.72m,38,€14.30m,37,€-8.43m,1994
Tottenham Hotspur,€13.77m,34,€7.17m,37,€-6.60m,1993
Watford FC,€62.31m,61,€73.68m,62,€11.37m,2021
Watford FC,€43.50m,59,€83.35m,54,€39.85m,2020
Watford FC,€56.00m,49,€95.90m,46,€39.90m,2019
Watford FC,€86.10m,47,€77.24m,48,€-8.86m,2018
Watford FC,€103.50m,58,€70.58m,57,€-32.92m,2017
Watford FC,€143.85m,61,€76.84m,62,€-67.01m,2016
Watford FC,€153.25m,62,€67.85m,62,€-85.40m,2015
Watford FC,€91.80m,67,€10.30m,64,€-81.50m,2014
Watford FC,€9.00m,67,€2.63m,75,€-6.38m,2013
Watford FC,€20.90m,58,€22.80m,51,€1.90m,2006
Watford FC,€12.20m,61,€16.60m,50,€4.40m,2005
West Bromwich Albion,€50.77m,37,€29.18m,43,€-21.59m,2020
West Bromwich Albion,€63.64m,42,€45.37m,36,€-18.27m,2019
West Bromwich Albion,€36.69m,40,€63.87m,38,€27.18m,2018
West Bromwich Albion,€68.69m,38,€28.65m,35,€-40.04m,2017
West Bromwich Albion,€91.40m,30,€29.03m,25,€-62.38m,2016
West Bromwich Albion,€80.80m,25,€39.90m,27,€-40.91m,2015
West Bromwich Albion,€67.78m,28,€15.22m,33,€-52.56m,2014
West Bromwich Albion,€40.58m,32,€13.70m,36,€-26.88m,2013
West Bromwich Albion,€20.70m,32,€15.13m,34,€-5.58m,2012
West Bromwich Albion,€14.14m,41,€14.85m,44,€707k,2011
West Bromwich Albion,€22.97m,53,€11.97m,51,€-11.00m,2010
West Bromwich Albion,€21.06m,50,€5.66m,51,€-15.40m,2009
West Bromwich Albion,€31.55m,43,€15.06m,46,€-16.49m,2008
West Bromwich Albion,€46.55m,52,€42.50m,47,€-4.05m,2007
West Bromwich Albion,€25.08m,48,€34.80m,44,€9.73m,2006
West Bromwich Albion,€18.15m,33,€11.63m,34,€-6.53m,2005
West Bromwich Albion,€31.15m,34,€11.03m,41,€-20.13m,2004
West Bromwich Albion,€21.18m,41,€4.27m,45,€-16.91m,2003
West Bromwich Albion,€22.28m,33,€2.32m,28,€-19.96m,2002
West Bromwich Albion,€20.80m,24,€7.50m,20,€-13.30m,2001
West Bromwich Albion,€10.82m,25,€8.06m,22,€-2.76m,2000
West Bromwich Albion,€8.13m,33,€3.17m,30,€-4.96m,1996
West Ham United,€144.56m,16,€181.36m,14,€36.80m,2023
West Ham United,€331.16m,24,€191.91m,25,€-139.25m,2022
West Ham United,€261.10m,22,€25.79m,21,€-235.32m,2021
West Ham United,€129.20m,26,€49.65m,25,€-79.56m,2020
West Ham United,€174.50m,26,€101.14m,34,€-73.36m,2019
West Ham United,€220.70m,28,€69.50m,30,€-151.21m,2018
West Ham United,€157.70m,33,€77.79m,38,€-79.91m,2017
West Ham United,€140.30m,37,€105.02m,40,€-35.28m,2016
West Ham United,€136.20m,47,€59.52m,41,€-76.69m,2015
West Ham United,€87.85m,50,€22.92m,52,€-64.94m,2014
West Ham United,€59.15m,49,€4.93m,45,€-54.22m,2013
West Ham United,€47.90m,48,€5.58m,47,€-42.32m,2012
West Ham United,€35.98m,60,€15.25m,64,€-20.73m,2011
West Ham United,€30.11m,54,€15.15m,54,€-14.96m,2010
West Ham United,€39.68m,40,€46.25m,44,€6.58m,2009
West Ham United,€37.65m,49,€110.13m,51,€72.48m,2008
West Ham United,€63.15m,45,€110.83m,42,€47.68m,2007
West Ham United,€117.00m,41,€48.75m,40,€-68.25m,2006
West Ham United,€91.44m,55,€7.30m,53,€-84.14m,2005
West Ham United,€23.10m,56,€5.80m,56,€-17.30m,2004
West Ham United,€4.36m,57,€47.35m,62,€42.99m,2003
West Ham United,€3.25m,52,€42.18m,55,€38.93m,2002
West Ham United,€22.46m,30,€18.20m,37,€-4.26m,2001
West Ham United,€40.71m,37,€60.53m,47,€19.82m,2000
West Ham United,€27.62m,59,€53.60m,58,€25.98m,1999
West Ham United,€20.11m,59,€30.21m,49,€10.10m,1998
West Ham United,€23.74m,46,€21.01m,36,€-2.73m,1997
West Ham United,€27.40m,42,€4.26m,39,€-23.14m,1996
West Ham United,€19.52m,45,€7.34m,44,€-12.19m,1995
West Ham United,€13.10m,42,€7.34m,36,€-5.76m,1994
West Ham United,€10.39m,35,€4.88m,33,€-5.51m,1993
Whitby Town,-,2,-,4,+-0,2024
Wigan Athletic,€20.56m,66,€42.82m,74,€22.27m,2013
Wigan Athletic,€16.94m,57,€37.66m,59,€20.72m,2012
Wigan Athletic,€22.91m,44,€24.54m,38,€1.63m,2011
Wigan Athletic,€23.78m,46,€14.69m,36,€-9.09m,2010
Wigan Athletic,€29.84m,41,€29.38m,39,€-455k,2009
Wigan Athletic,€42.54m,40,€50.48m,44,€7.95m,2008
Wigan Athletic,€42.00m,47,€42.33m,47,€325k,2007
Wigan Athletic,€47.28m,48,€42.15m,46,€-5.13m,2006
Wigan Athletic,€45.15m,41,€29.95m,43,€-15.20m,2005
Wigan Athletic,€17.57m,37,€5.63m,36,€-11.95m,2004
Wigan Athletic,€5.40m,36,€1.50m,28,€-3.90m,2003
Wigan Athletic,€4.80m,29,€1.50m,25,€-3.30m,2002
Wigan Athletic,€7.94m,34,€3.04m,37,€-4.90m,2001
Wimbledon FC (- 2004),€15.25m,38,€35.56m,39,€20.31m,1999
Wimbledon FC (- 2004),€25.00m,24,€8.84m,22,€-16.16m,1998
Wimbledon FC (- 2004),€21.96m,14,€11.20m,12,€-10.76m,1997
Wimbledon FC (- 2004),€4.19m,31,€10.22m,20,€6.04m,1994
Wimbledon FC (- 2004),€3.92m,20,€6.07m,17,€2.16m,1993
Wolverhampton Wanderers,€88.00m,34,€169.20m,34,€81.20m,2023
Wolverhampton Wanderers,€265.11m,58,€232.07m,61,€-33.04m,2022
Wolverhampton Wanderers,€214.71m,58,€94.67m,50,€-120.04m,2021
Wolverhampton Wanderers,€125.19m,47,€111.00m,46,€-14.19m,2020
Wolverhampton Wanderers,€204.29m,49,€103.30m,50,€-100.99m,2019
Wolverhampton Wanderers,€229.45m,63,€47.40m,72,€-182.05m,2018
Wolverhampton Wanderers,€137.36m,69,€29.62m,80,€-107.74m,2017
Wolverhampton Wanderers,€60.71m,65,€9.31m,60,€-51.40m,2016
Wolverhampton Wanderers,€45.44m,63,€18.07m,58,€-27.38m,2015
Wolverhampton Wanderers,€17.18m,63,€36.27m,66,€19.09m,2012
Wolverhampton Wanderers,€27.38m,63,€32.77m,64,€5.39m,2011
Wolverhampton Wanderers,€32.27m,57,€9.04m,57,€-23.23m,2010
Wolverhampton Wanderers,€39.67m,60,€7.31m,51,€-32.36m,2009
Wolverhampton Wanderers,€28.37m,62,€7.97m,61,€-20.40m,2008
Wolverhampton Wanderers,€16.42m,60,€7.53m,60,€-8.90m,2007
Wolverhampton Wanderers,€13.90m,46,€1.37m,41,€-12.54m,2003
Wolverhampton Wanderers,€9.88m,40,€1.55m,38,€-8.33m,2002
Wolverhampton Wanderers,€17.83m,36,€2.89m,45,€-14.94m,2001
Wolverhampton Wanderers,€24.18m,43,€2.49m,40,€-21.69m,2000
Wolverhampton Wanderers,€11.25m,38,€9.00m,31,€-2.25m,1999
Wolverhampton Wanderers,€9.07m,28,€2.34m,26,€-6.73m,1994
Wolverhampton Wanderers,€10.48m,24,€1.44m,22,€-9.04m,1993
Wolverhampton Wanderers U18,-,1,-,0,+-0,2024
Workington AFC,-,1,-,2,+-0,2024
